regname,areaname,tername,KOATUU_2020,KATOTTG_2023
Кіровоградська область,Олександрівський район,с.Розумівка,3520585501,UA35040250400069942
Черкаська область,Лисянський район,с.Жаб'янка,7122883401,UA71020010020092742
Рівненська область,Дубенський район,с.Олибів (Сатиївська сільрада),5621687009,UA56040050110067849
Кіровоградська область,Добровеличківський район,с.Вороб'ївка (Братолюбівська сільрада),3521780803,UA35060050090048336
Черкаська область,Драбівський район,с.Петровського (Нехайківська сільрада),7120687402,UA71040070150019623
Тернопільська область,Підволочиський район,с.Хоптянка (Подільська сільрада),6124610515,UA61040430160052939
Вінницька область,Барський район,с.Мирне (Войнашівська сільрада),0520280611,UA05060010370074055
Сумська область,Путивльський район,с.Мазівка,5923884801,UA59020110170053914
Львівська область,Жидачівський район,с.Дроховичі (Чорноострівська сільрада),4621510519,UA46100270210022017
Чернігівська область,Ріпкинський район,с.Мохначі,7424456016,UA74100230270026644
Тернопільська область,Зборівський район,с.Кабарівці,6122684001,UA61040170190021115
Дніпропетровська область,П'ятихатський район,с.Осикувате (Зорянська сільрада),1224581708,UA12040210190046032
Чернівецька область,Вижницький район,с.Лекечі (Долішньошепітська сільрада),7320581502,UA73020030070047417
Львівська область,Сокальський район,с.Залижня (Смиківська сільрада),4624886903,UA46120110170088049
Житомирська область,Новоград-Волинський район,с.Великий Молодьків,1824080801,UA18080150050074146
Івано-Франківська область,Рогатинський район,с.Яглуш (Дичківська сільрада),2624481702,UA26040270650022794
Сумська область,Сумський район,с.Кононенкове (Косівщинська сільрада),5924783803,UA59080250060038738
Київська область,Миронівський район,с.Кип'ячка,3222982901,UA32120090120093663
Київська область,Васильківський район,с.Березенщина (Путрівська сільрада),3221487002,UA32140070020063425
Закарпатська область,Перечинський район,с.Свалявка (Тур'є-Бистрянська сільрада),2123285002,UA21100210120084813
Хмельницька область,Славутський район,с.Колом'є (Полянська сільрада),6823984005,UA68060110040019321
Хмельницька область,Білогірський район,с.Семенів,6820387301,UA68060030450038801
Житомирська область,Коростишівський район,с.Гуменники,1822581801,UA18040510040049720
Кіровоградська область,Голованівський район,с.Журавлинка,3521481801,UA35020070050084110
Волинська область,Володимир-Волинський район,с.Овадне,0720584401,UA07020150010016648
Запорізька область,Приазовський район,с.Новоіванівка (смт Приазовське),2324555104,UA23080230110079567
Львівська область,Радехівський район,с.Опліцько (Оглядівська сільрада),4623983805,UA46120090240048208
Харківська область,Харківський район,с-ще Ударне (смт Манченки),6325157609,UA63120110150071661
Вінницька область,Немирівський район,с.Обідне,0523084006,UA05020050120043177
Миколаївська область,Березанський район,с.Кімівка,4820955111,UA48060010120097338
Закарпатська область,Великоберезнянський район,с.Кострина,2120882401,UA21100090010011565
Хмельницька область,Теофіпольський район,с.Кузьминці (Поляхівська сільрада),6824786003,UA68040450260076112
Вінницька область,Немирівський район,с.Воробіївка,0523081401,UA05020170090024151
Луганська область,Міловський район,с.Зарічне (Новострільцівська сільрада),4422885504,UA44140070090081630
Дніпропетровська область,Синельниківський район,с.Бегма (смт Славгород),1224856201,UA12140330030023310
Чернігівська область,Чернігівський район,с.Рудка,7425585507,UA74100270130080231
Донецька область,Першотравневий район,с-ще Дем'янівка (Комишуватська сільрада),1423983302,UA14140030080044382
Волинська область,Камінь-Каширський район,с.Добре,0721483301,UA07040010180097534
Дніпропетровська область,Томаківський район,с.Грушеве (Володимирівська сільрада),1225455110,UA12080130070031263
Вінницька область,Теплицький район,с.Цвіліхівка (Кивачівська сільрада),0523782603,UA05040090120022297
Львівська область,Дрогобицький район,с.Літиня,4621284501,UA46020050120073751
Волинська область,Луцький район,с.Полонка (Гіркополонківська сільрада),0722881603,UA07080030170058169
Запорізька область,Новомиколаївський район,с.Мар'янівка (Терсянська сільрада),2323686608,UA23060190250023105
Миколаївська область,Веселинівський район,с.Варюшине,4821780201,UA48040050050087704
Запорізька область,Якимівський район,с-ще Максима Горького,2320355112,UA23080310330098114
Луганська область,Попаснянський район,с.Троїцьке,4423885201,UA44120070100035017
Запорізька область,Новомиколаївський район,смт Тернувате,2323655500,UA23060310010075357
Івано-Франківська область,Рогатинський район,с.Підкамінь,2624485101,UA26040270490016562
Донецька область,Артемівський район,с-ще Опитне,1410390014,UA14020010170066541
Львівська область,Буський район,с.Чішки (Кутівська сільрада),4620683204,UA46040030650065799
Тернопільська область,Борщівський район,с.Сков'ятин,6120887401,UA61060050190059110
Черкаська область,Уманський район,с-ще Політвідділовець (Затишанська сільрада),7124385105,UA71060130110048536
Полтавська область,Хорольський район,с.Кривці (Ялосовецька сільрада),5324888207,UA53040110390036897
Запорізька область,Михайлівський район,с.Рівне (Високівська сільрада),2323386617,UA23040190210049664
Рівненська область,Дубенський район,с.Буща (Шепетинська сільрада),5621655902,UA56040330030078188
Полтавська область,Лубенський район,с.Вили (Тарандинцівська сільрада),5322887003,UA53040050040020188
Сумська область,Середино-Будський район,с.Лукашенківське (Великоберізківська сільрада),5924480402,UA59100130130062776
Закарпатська область,Іршавський район,с.Богаревиця (Кам'янська сільрада),2121984802,UA21020130030051448
Волинська область,Любомльський район,с.Будники (Столинсько-Смолярська сільрада),0723384904,UA07060330030018926
Вінницька область,Томашпільський район,с.Олександрівка,0523980301,UA05100130170037874
Львівська область,Яворівський район,с.Свидниця,4625887801,UA46140110650032036
Хмельницька область,Старокостянтинівський район,с.Криниця (Пеньківська сільрада),6824286706,UA68040390330040669
Вінницька область,Тростянецький район,с.Гордіївка,0524181501,UA05040250050071732
Черкаська область,Уманський район,с.Антонівка,7124380301,UA71060190020029556
Кіровоградська область,Устинівський район,с.Березівка,3525881201,UA35040330020024091
Тернопільська область,Гусятинський район,с.Самолусківці,6121686701,UA61060130120027482
Київська область,Володарський район,с.Капустинці,3221682801,UA32020030110086624
Чернігівська область,Ніжинський район,с.Велика Дорога,7423388906,UA74040330040011575
Одеська область,Березівський район,с.Анатолівка,5121283602,UA51020230020012830
Миколаївська область,Доманівський район,с.Володимирівка,4822781201,UA48040090060052525
Миколаївська область,Доманівський район,с.Володимирівка,4822784602,UA48040090050089196
Рівненська область,Гощанський район,с.Пашуки (Русивельська сільрада),5621287120,UA56060170270093114
Житомирська область,Володарськ-Волинський район,с.Будо-Рижани (Радицька сільрада),1821183802,UA18040570030015890
Рівненська область,Сарненський район,с.Копище (Ремчицька сільрада),5625485802,UA56080170140042562
Полтавська область,Великобагачанський район,с.Красногорівка (Білоцерківська сільрада),5320281209,UA53060010150023356
Київська область,Білоцерківський район,с.Дрозди,3220481301,UA32020010090094315
Харківська область,Борівський район,с.Новоплатонівка (смт Борова),6321055102,UA63040050260014091
Київська область,Васильківський район,с.Шевченківка,3221488601,UA32120030190097902
Київська область,Рокитнянський район,с.Бакумівка (Ромашківська сільрада),3223785002,UA32020130020068388
Полтавська область,Лохвицький район,с.Корсунівка,5322683401,UA53060290100043936
Хмельницька область,Старосинявський район,с.Чехи (Заставецька сільрада),6824455142,UA68040430430052533
Івано-Франківська область,Коломийський район,с.Глибока (смт Отинія),2623255401,UA26080150060084078
Харківська область,Нововодолазький район,с.Охоче,6324283501,UA63060110150060014
Черкаська область,Золотоніський район,с.Вільхи,7121581801,UA71040150040069006
Полтавська область,Лубенський район,с.Хорошки,5322887901,UA53040030580039270
Хмельницька область,Чемеровецький район,с.Пукляки,6825286601,UA68020010070065541
Чернігівська область,Ріпкинський район,с.Лопатні (смт Радуль),7424456402,UA74100330260078501
Чернівецька область,Хотинський район,с.Пашківці,7325086001,UA73040190100090404
Львівська область,Дрогобицький район,с.Новий Кропивник (Новокропивницька сільрада),4621285101,UA46020070140073928
Київська область,Кагарлицький район,с.Півці (Півецька сільрада),3222286401,UA32120130160018071
Вінницька область,Калинівський район,с.Заливанщина,0521682403,UA05120070160034420
Миколаївська область,Новобузький район,с.Мала Ганнівка (Баратівська сільрада),4824585011,UA48020210140074181
Одеська область,Комінтернівський район,с.Корсунці (Красносільська сільрада),5122782603,UA51100190060090479
Харківська область,Куп'янський район,с.Моначинівка,6323783901,UA63080070190086581
Сумська область,Недригайлівський район,с.Деркачівка,5923584411,UA59060030060087645
Тернопільська область,Чортківський район,с.Свидова,6125587301,UA61060370200078029
Київська область,Баришівський район,с.Лукаші,3220283401,UA32060010120025362
Львівська область,Бродівський район,с.Нем'яч (Поповецька сільрада),4620386204,UA46040110190061213
Миколаївська область,Миколаївський район,с.Ясна Поляна (Яснополянська сільрада),4824286090,UA48060230120080791
Тернопільська область,Збаразький район,с.Бутин,6122455303,UA61020050040012982
Донецька область,Красноармійський район,с.Михайлівка,1422755604,UA14160050200073466
Донецька область,Красноармійський район,с.Михайлівка,1422783201,UA14160170120032203
Івано-Франківська область,Рогатинський район,с.Вишнів,2624455304,UA26040050040042852
Черкаська область,Монастирищенський район,с.Княжики,7123482501,UA71060170140018263
Полтавська область,Решетилівський район,с.Колотії (смт Решетилівка),5324210104,UA53080390260011619
Хмельницька область,Кам'янець-Подільський район,с.Гута-Чугорська (Чабанівська сільрада),6822489502,UA68020270040096307
Хмельницька область,Дунаєвецький район,с.Велика Кужелева,6821810103,UA68020050030060722
Вінницька область,Немирівський район,с.Нова Миколаївка (Воробіївська сільрада),0523081402,UA05020170340055917
Львівська область,Турківський район,с.Верхнє,4625581901,UA46080030070066407
Харківська область,Великобурлуцький район,с.Григорівка,6321482001,UA63080010120067200
Тернопільська область,Кременецький район,с.Чугалі,6123489001,UA61020070430028531
Івано-Франківська область,Косівський район,с.Корости (Трацька сільрада),2623687604,UA26080110070091345
Донецька область,Волноваський район,с.Рибинське,1421587201,UA14040030190046132
Сумська область,Лебединський район,с-ще Першотравневе (Михайлівська сільрада),5922986505,UA59080111250052845
Черкаська область,Шполянський район,с.Георгіївка (Іскренська сільрада),7125782603,UA71020330050069227
Запорізька область,Мелітопольський район,с.Орлове (Світлодолинська сільрада),2323083903,UA23080270070080098
Волинська область,Ратнівський район,с.Запоківне (Кортеліська сільрада),0724285205,UA07060310120015474
Харківська область,Чугуївський район,с.Михайлівка (Іванівська сільрада),6325456710,UA63140150100063460
Херсонська область,Каланчацький район,с.Новопавлівка,6523255107,UA65080070090023628
Полтавська область,Кобеляцький район,с.Котовське (Бутенківська сільрада),5321880708,UA53080010070087082
Тернопільська область,Заліщицький район,с.Голігради (Винятинська сільрада),6122081702,UA61060170090033755
Запорізька область,Чернігівський район,с.Тарасівка (Панфілівська сільрада),2325555138,UA23020150340067875
Запорізька область,Чернігівський район,с.Розівка (Просторівська сільрада),2325555133,UA23020150300068287
Вінницька область,Тульчинський район,с.Копіївка,0524383301,UA05100150140082877
Кіровоградська область,Голованівський район,с.Наливайка,3521485801,UA35020070190099160
Сумська область,Недригайлівський район,с.Перетічки (Сакуниська сільрада),5923585705,UA59060090400059664
Київська область,Бориспільський район,с.Лебедин (Кіровська сільрада),3220884403,UA32040010120085754
Чернігівська область,Менський район,с.Феськівка,7423010131,UA74020030350023972
Київська область,Яготинський район,с.Ничипорівка,3225584201,UA32040210210099908
Дніпропетровська область,Новомосковський район,с.Ганнівка (Керносівська сільрада),1223283002,UA12100090040058715
Дніпропетровська область,Криничанський район,с.Чернече (смт Кринички),1222055107,UA12040170440058903
Хмельницька область,Кам'янець-Подільський район,с-ще Сахкамінь (Нігинська сільрада),6822481818,UA68020030230070158
Запорізька область,Пологівський район,с.Вербове,2324281201,UA23100190050038798
Закарпатська область,Великоберезнянський район,с.Лубня,2120882801,UA21100170070061345
Одеська область,Саратський район,с.Міняйлівка,5124582301,UA51040150020036270
Львівська область,Сокальський район,с.Ванів,4624880901,UA46120010030072793
Одеська область,Красноокнянський район,с.Іванівка (Новосамарська сільрада),5123183002,UA51120150180095681
Чернігівська область,Куликівський район,с.Смолянка,7422787001,UA74100290050044483
Харківська область,Балаклійський район,с-ще Веселе,6320286202,UA63040150140046546
Одеська область,Березівський район,с.Степанівка,5121285101,UA51020030220095493
Харківська область,Лозівський район,с.Копані (Миколаївська сільрада),6311090012,UA63100050330073392
Львівська область,Городоцький район,с.Тучапи,4620989101,UA46060070350018132
Полтавська область,Кременчуцький район,с.Майбородівка,5322486303,UA53020190090038232
Житомирська область,Ємільчинський район,с.Рясне,1821785201,UA18080030300061846
Чернігівська область,Бобровицький район,с.Стара Басань,7420610134,UA74040050320032792
Сумська область,Сумський район,с.Ясени (Садівська сільрада),5924786807,UA59080230330065036
Київська область,Макарівський район,с.Борівка,3222780401,UA32080190050071620
Одеська область,Фрунзівський район,с.Леніне,5125282501,UA51140050160013055
Хмельницька область,Новоушицький район,с.Новий Глібів,6823355134,UA68020190370091666
Донецька область,Слов'янський район,с.Краснопілля (Долинська сільрада),1424281503,UA14120190060094847
Житомирська область,Бердичівський район,с.Скаківка,1820855312,UA18020070130068970
Рівненська область,Сарненський район,с.Угли (Кричильська сільрада),5625483407,UA56080170330031773
Вінницька область,Барський район,с.Гайове (Гаївська сільрада),0520281001,UA05060010120089130
Хмельницька область,Летичівський район,с.Майдан (Голенищівська сільрада),6823055118,UA68040230190057500
Вінницька область,Ямпільський район,с.Цекинівка,0525687701,UA05080110380090539
Черкаська область,Черкаський район,с.Чорнявка,7124989201,UA71080190040011273
Полтавська область,Глобинський район,с.Черевані (м.Глобино),5320610107,UA53020010620095128
Харківська область,Балаклійський район,с.Лозовенька,6320283601,UA63040010190064186
Львівська область,Мостиський район,с.Гусаків,4622481601,UA46140090120020894
Вінницька область,Вінницький район,с.Сосонка,0520687003,UA05020230100067669
Донецька область,Олександрівський район,с.Запаро-Мар'євка (Високопільська сільрада),1420355115,UA14120170110063613
Полтавська область,Лохвицький район,с.Юсківці (Лучанська сільрада),5322684402,UA53060190480060569
Житомирська область,Малинський район,с.Йосипівка,1823455407,UA18060250090013729
Харківська область,Кегичівський район,с.Комунарське (смт Чапаєве),6323155603,UA63060030170023418
Дніпропетровська область,Солонянський район,с-ще Незабудине (Новомар'ївська сільрада),1225083512,UA12020230230043725
Хмельницька область,Дунаєвецький район,с.Мушкутинці (м.Дунаївці),6821810101,UA68020050320078473
Хмельницька область,Городоцький район,с.Борщівка (Радковицька сільрада),6821210103,UA68040130050013287
Київська область,Сквирський район,с.Малі Єрчики (Малоєрчиківська сільрада),3224084001,UA32020150200068219
Сумська область,Роменський район,с.Василівка,5924182601,UA59060010070080032
Івано-Франківська область,Снятинський район,с.Горішнє Залуччя,2625281501,UA26080230060041068
Київська область,Рокитнянський район,с.Маківка,3223783001,UA32020130110019031
Тернопільська область,Монастириський район,с.Велеснів,6124280401,UA61060310040044223
Дніпропетровська область,Солонянський район,с.Червоноармійське (Дзержинівська сільрада),1225083009,UA12020150060061432
Сумська область,Білопільський район,с.Іскрисківщина,5920683501,UA59080030160082682
Рівненська область,Березнівський район,с.Глибочок (смт Соснове),5620455704,UA56060490060073726
Хмельницька область,Хмельницький район,с.Малі Орлинці (Везденецька сільрада),6825055512,UA68040490120049694
Волинська область,Локачинський район,с.Мовчанів (Холопичівська сільрада),0722482413,UA07020030160081892
Миколаївська область,Новоодеський район,с.Новошмідтівка,4824885203,UA48060330080047183
Київська область,Миронівський район,с.П'ятирічка (Центральненська сільрада),3222988303,UA32120090230024045
Миколаївська область,Березанський район,с.Калабатине (Кімівська сільрада),4820955110,UA48060010110010978
Харківська область,Нововодолазький район,с.Рокитне,6324284501,UA63120170310060454
Хмельницька область,Теофіпольський район,с.Строки (Лідихівська сільрада),6824783503,UA68040450480054965
Полтавська область,м.Комсомольськ,с.Кузьменки (Дмитрівська сільрада),5310290313,UA53020030090091802
Чернігівська область,Козелецький район,с.Набільське (Біликівська сільрада),7422010410,UA74100310160042559
Миколаївська область,Новоодеський район,с.Підлісне,4824884601,UA48060210130073609
Кіровоградська область,Новоукраїнський район,с.Іванівці (Рівнянська сільрада),3524085603,UA35060210090085400
Черкаська область,Катеринопільський район,с.Суха Калигірка (Сухокалигірська сільрада),7122283705,UA71020230070039772
Миколаївська область,Кривоозерський район,с.Багачівка,4823980401,UA48080090020026287
Вінницька область,Липовецький район,с-ще Липовець (Росошанська сільрада),0522285603,UA05020110350031399
Львівська область,Золочівський район,с.Зарваниця (Струтинська сільрада),4621887602,UA46040070200080271
Тернопільська область,Монастириський район,с.Сеньків (Задарівська сільрада),6124285003,UA61060310350056803
Київська область,Києво-Святошинський район,с.Княжічі,3222483601,UA32140030060077994
Закарпатська область,Воловецький район,смт Жденієво,2121555300,UA21040090010034849
Черкаська область,Шполянський район,с.Надточаївка,7125710105,UA71020330140016072
Хмельницька область,Красилівський район,с.Кульчинки,6822710107,UA68040210160045338
Луганська область,Новопсковський район,с.Ганнусівка,4423380701,UA44140090030064314
Полтавська область,Новосанжарський район,с.Пологи-Низ (Великосолонцівська сільрада),5323480703,UA53080310340050476
Хмельницька область,Летичівський район,с.Волосівці,6823055402,UA68040270020079416
Полтавська область,Полтавський район,с.Залізничне (Ковалівська сільрада),5324081907,UA53080370220047717
Вінницька область,Мурованокуриловецький район,с.Знаменівка (Конищівська сільрада),0522883002,UA05080070210014888
Львівська область,Самбірський район,с.Верхівці,4624281610,UA46080010070058330
Житомирська область,Попільнянський район,с.Великі Лісівці,1824755101,UA18040390030096909
Кіровоградська область,Компаніївський район,с.Губівка,3522881601,UA35040190180079341
Одеська область,Біляївський район,с.Ленінське Перше (Вигодянська сільрада),5121081702,UA51100090130068187
Кіровоградська область,Петрівський район,с.Олександрівка (Чечеліївська сільрада),3524986602,UA35080110280014112
Волинська область,Локачинський район,с.Марковичі,0722484201,UA07020110180018967
Харківська область,Зміївський район,с-ще Красна Поляна (Борівська сільрада),6321781006,UA63140030370073868
Донецька область,Костянтинівський район,с.Маркове,1422483701,UA14120070100089157
Черкаська область,Смілянський район,с.Сунки,7123788501,UA71080030040067353
Дніпропетровська область,Софіївський район,с.Гончарове (Девладовська сільрада),1225282504,UA12060110080043036
Львівська область,Кам'янка-Бузький район,с.Мазярка (Желдецька сільрада),4622183006,UA46060190160064081
Дніпропетровська область,Новомосковський район,с.Рівне (Багатська сільрада),1223280503,UA12100090150093336
Полтавська область,Оржицький район,с.Новий Іржавець (Чутівська сільрада),5323687702,UA53040070170066411
Сумська область,Глухівський район,с.Привілля,5921584801,UA59100030180031553
Чернігівська область,Бобровицький район,с.Браниця,7420610107,UA74040050020050117
Волинська область,Маневицький район,с.Ситниця (Старосільська сільрада),0723655412,UA07080130240041472
Тернопільська область,Кременецький район,с.Зеблози (Чугалівська сільрада),6123489003,UA61020070190013755
Луганська область,Білокуракинський район,с.Шапарівка (Лизинська сільрада),4420955122,UA44100010370047828
Дніпропетровська область,Синельниківський район,смт Сад,1224855305,UA12140110020066304
Хмельницька область,Деражнянський район,с.Радянське (Божиковецька сільрада),6821580802,UA68040150130094857
Житомирська область,Попільнянський район,с.Романівка,1824782107,UA18040210070032779
Івано-Франківська область,Надвірнянський район,с.Глинки (Середньомайданська сільрада),2624056202,UA26120050030050728
Вінницька область,Гайсинський район,с.Гунча,0520881803,UA05040030110056294
Житомирська область,Житомирський район,с.Бистрі (Станишівська сільрада),1822086802,UA18040490020029769
Херсонська область,Генічеський район,с.Бойове (Щорсівська сільрада),6522188502,UA65040010060044304
Донецька область,Красноармійський район,с.Мемрик (Михайлівська сільрада),1422783206,UA14160170100052886
Львівська область,Стрийський район,с.Монастирець,4625380606,UA46100030100078272
Чернігівська область,Чернігівський район,с.Жавинка (Киїнська сільрада),7425583403,UA74100130030073148
Чернівецька область,Хотинський район,с.Атаки (Атацька сільрада),7325080201,UA73040190030077295
Вінницька область,Немирівський район,с.Вища Кропивна (Вищекропивнянська сільрада),0523055601,UA05040190030051352
Полтавська область,Полтавський район,с.Кірове,5324081401,UA53080370400015856
Сумська область,Тростянецький район,с.Новгородське (Боромлянська сільрада),5925080804,UA59040010090018283
Чернігівська область,Городнянський район,с.Старосілля (Андріївська сільрада),7421480405,UA74100050490088830
Івано-Франківська область,Галицький район,с.Межигірці,2621286101,UA26040130110036401
Житомирська область,Новоград-Волинський район,с.Ходурки (Курчицька сільрада),1824086816,UA18080210260030822
Житомирська область,Коростенський район,с-ще Сокорики (Бехівська сільрада),1822380604,UA18060090440037586
Вінницька область,Хмільницький район,с.Філіопіль (Великомитницька сільрада),0524880605,UA05120170380037871
Харківська область,Сахновщинський район,с.Великі Бучки,6324881301,UA63060090070035456
Волинська область,Ківерцівський район,с.Острів (Тростянецька сільрада),0721887204,UA07080110160069221
Сумська область,Недригайлівський район,с.Комишанка (Зеленківська сільрада),5923584414,UA59060030090091178
Херсонська область,Білозерський район,с.Новодмитрівка (Томинобалківська сільрада),6520355106,UA65100010080060817
Полтавська область,Гадяцький район,с.Бобрик,5320481101,UA53060050030082789
Вінницька область,Мурованокуриловецький район,с.Плоске,0522885201,UA05080030160053127
Закарпатська область,Міжгірський район,с.Келечин,2122482001,UA21120210050019135
Сумська область,Конотопський район,с.Мельня,5922085801,UA59020130170094465
Вінницька область,Іллінецький район,с.Романово-Хутір (Іллінецька сільрада),0521282606,UA05020090210080697
Дніпропетровська область,П'ятихатський район,с.Балкове (Савровська сільрада),1224587003,UA12040230020058964
Івано-Франківська область,Верховинський район,с.Хороцеве,2620880504,UA26020010140099379
Вінницька область,Погребищенський район,с.Обозівка (Збаржівська сільрада),0523482202,UA05020210310015567
Рівненська область,Дубенський район,с.Озеряни,5621684701,UA56040050100048146
Полтавська область,Лубенський район,с.Тишки,5322887401,UA53040030540073985
Волинська область,Рожищенський район,с.Тихотин,0724587001,UA07080250350028058
Житомирська область,Овруцький район,с.Оленичі (Хлуплянська сільрада),1824210150,UA18060170580080580
Кіровоградська область,Долинський район,с.Богданівка,3521980701,UA35040110050023837
Сумська область,Недригайлівський район,с.Зеленківка,5923584412,UA59060030070087511
Чернігівська область,Семенівський район,с.Машеве (Машівська сільрада),7424710131,UA74060070410027410
Дніпропетровська область,Софіївський район,с.Кам'янка,1225283801,UA12060270100018547
Хмельницька область,Городоцький район,с.Пільний Олексинець,6821210127,UA68040130350028032
Сумська область,Липоводолинський район,с.Колядинець,5923282601,UA59060130160012072
Черкаська область,Тальнівський район,с.Криві Коліна,7124084801,UA71020290170086639
Львівська область,Самбірський район,с.Пиняни (Бабинська сільрада),4624280303,UA46080070250065980
Тернопільська область,Бучацький район,с.Передмістя,6121285601,UA61060070260069932
Полтавська область,Шишацький район,с.Науменки (Великобузівська сільрада),5325755138,UA53060330400013068
Полтавська область,Лубенський район,с.Губське (Тарандинцівська сільрада),5322887004,UA53040050090067942
Чернігівська область,Новгород-Сіверський район,с.Чайкине,7423689301,UA74060030780087324
Житомирська область,Любарський район,с.Авратин,1823155101,UA18040290020041086
Вінницька область,Барський район,с.Голубівка (Кузьминецька сільрада),0520282406,UA05060010150011435
Вінницька область,Чернівецький район,с.Лозове (Лозівська сільрада),0524984001,UA05080090170082461
Чернігівська область,Городнянський район,с.Ваганичі,7421481601,UA74100050100074658
Львівська область,Жидачівський район,с.Межиріччя (Зарічанська сільрада),4621583304,UA46100050120018720
Закарпатська область,Хустський район,с.Сюрюк (Горінчівська сільрада),2125382205,UA21120050140043610
Сумська область,Буринський район,с.Дяківка,5920983201,UA59020030160035884
Вінницька область,Липовецький район,с.Лозувата,0522283003,UA05020110150032099
Одеська область,Балтський район,с.Березівка (Обжильська сільрада),5110290004,UA51120030050092312
Вінницька область,Чернівецький район,с.Володіївці,0524982301,UA05080090090071019
Дніпропетровська область,Дніпропетровський район,с-ще Шевченко (Горьківська сільрада),1221482008,UA12020090100066261
Тернопільська область,Теребовлянський район,с.Вишнівчик,6125083606,UA61040190060043483
Вінницька область,Барський район,с.Українське (смт Копайгород),0520255309,UA05060070180028170
Житомирська область,Новоград-Волинський район,с.Олександрівка (Наталівська сільрада),1824083705,UA18080150130095744
Закарпатська область,Рахівський район,с.Круглий (Діловецька сільрада),2123682502,UA21060050060028459
Закарпатська область,Воловецький район,с.Латірка (Біласовицька сільрада),2121581002,UA21040190100058153
Рівненська область,Сарненський район,с.Карасин,5625455403,UA56080090020076360
Волинська область,Турійський район,с.Дольськ,0725555101,UA07060430080084727
Миколаївська область,Снігурівський район,с.Трудолюбівка (Першотравнева сільрада),4825710120,UA48020190200079832
Одеська область,Комінтернівський район,с.Нове Селище (Каїрська сільрада),5122781503,UA51020130050049428
Донецька область,Слов'янський район,с.Хрестище,1424282401,UA14120190130048896
Херсонська область,Бериславський район,с.Інгулівка (Кіровська сільрада),6520682403,UA65100070060028344
Житомирська область,Малинський район,с.Новобратське (Барвінківська сільрада),1823455411,UA18060250180085734
Одеська область,Білгород-Дністровський район,с.Монаші,5120884601,UA51040110050097207
Тернопільська область,Бережанський район,с.Куропатники,6120482501,UA61040030100064168
Волинська область,Ратнівський район,с.Почапи (Залухівська сільрада),0724286916,UA07060350140033750
Чернівецька область,Новоселицький район,с.Берестя,7323080601,UA73060410020086313
Київська область,Фастівський район,с.Дідівщина,3224982401,UA32140130080071439
Тернопільська область,Підволочиський район,с.Кошляки,6124687106,UA61040450100053813
Івано-Франківська область,Тлумацький район,с.Надорожна,2625610108,UA26040350240030028
Одеська область,Ширяївський район,с.Олександрівка,5125480301,UA51120050060081842
Черкаська область,Жашківський район,с.Охматів,7120985401,UA71060030040087717
Дніпропетровська область,Новомосковський район,с.Нове (Миколаївська сільрада),1223284004,UA12100010170061255
Рівненська область,Радивилівський район,с.Березини,5625883905,UA56040130020061650
Рівненська область,Радивилівський район,с.Дубини (Козинська сільрада),5625883903,UA56040130090096092
Вінницька область,Немирівський район,с.Озеро (Зарудинецька сільрада),0523083406,UA05020170350095538
Івано-Франківська область,Тлумацький район,с.Локітка (Палагицька сільрада),2625686903,UA26040350220024862
Миколаївська область,Березанський район,с.Данилівка,4820980901,UA48060190020061034
Хмельницька область,Ярмолинецький район,с.Перегінка (Скаржинецька сільрада),6825886403,UA68040330210051919
Харківська область,Золочівський район,с.Ковалі (Одноробівська сільрада),6322655128,UA63020050240041308
Харківська область,Харківський район,с-ще Прелесне (смт Кулиничі),6325157311,UA63120050200012487
