eoname,schoolname
Гришковецька гімназія Гришковецької селищної ради Бердичівського району Житомирської області,Гришковецька гімназія Гришковецької селищної ради Бердичівського району Житомирської області
Швайківський заклад загальної середньої освіти І-ІІІ ступенів Швайківської сільської ради Бердичівського району Житомирської області,Швайківський заклад загальної середньої освіти І-ІІІ ступенів Швайківської сільської ради Бердичівського району Житомирської області
"Опорний заклад освіти ""Овруцький заклад загальної середньої освіти І-ІІІ ступенів №4"" Овруцької міської ради Житомирської області","Опорний заклад освіти ""Овруцький заклад загальної середньої освіти І-ІІІ ступенів №4"" Овруцької міської ради Житомирської області"
Новоград-Волинська загальноосвітня школа І-ІІІ ступенів №2 Житомирської області,Новоград-Волинська загальноосвітня школа І-ІІІ ступенів №2 Житомирської області
"Опорний навчальний заклад біотехнологічний ліцей ""Радовель"" Олевської районної ради Житомирської області","Опорний навчальний заклад біотехнологічний ліцей ""Радовель"" Олевської районної ради Житомирської області"
Грозинська гімназія Коростенського району Житомирської області,Грозинська гімназія Коростенського району Житомирської області
Видиборський ліцей інформаційних технологій Черняхівського району Житомирської області,Видиборський ліцей інформаційних технологій Черняхівського району Житомирської області
Андрушівська гімназія Житомирської області,Андрушівська гімназія Житомирської області
Черняхівська гімназія Житомирської області,Черняхівська гімназія Житомирської області
"Опорний заклад освіти ""Бондарівський заклад загальної середньої освіти І-ІІІ ступенів"" Овруцької міської ради Житомирської області","Опорний заклад освіти ""Бондарівський заклад загальної середньої освіти І-ІІІ ступенів"" Овруцької міської ради Житомирської області"
Олевська гімназія Житомирської області,Олевська гімназія Житомирської області
Ліцей №1 імені Лесі Українки міста Новограда-Волинського Житомирської області,Ліцей №1 імені Лесі Українки міста Новограда-Волинського Житомирської області
Корнинський опорний освітній заклад І - ІІІ ступенів Корнинської селищної ради,Корнинський опорний освітній заклад І - ІІІ ступенів Корнинської селищної ради
Коростенська міська гімназія Житомирської області,Коростенська міська гімназія Житомирської області
Рижанський ліцей Житомирської області,Рижанський ліцей Житомирської області
Житомирська гуманітарна гімназія №1,Житомирська гуманітарна гімназія №1
Народицька гімназія Житомирської області,Народицька гімназія Житомирської області
"Навчально-виховний комплекс ""Школа-гімназія"" №12 м.Коростеня Житомирської області","Навчально-виховний комплекс ""Школа-гімназія"" №12 м.Коростеня Житомирської області"
Коростенська загальноосвітня школа І-ІІІ ступенів №11 Житомирської області,Коростенська загальноосвітня школа І-ІІІ ступенів №11 Житомирської області
опорний заклад Барашівська загальноосвітня школа І-ІІІ ступенів Барашівської сільської ради Ємільчинського району Житомирської області,опорний заклад Барашівська загальноосвітня школа І-ІІІ ступенів Барашівської сільської ради Ємільчинського району Житомирської області
Загальноосвітня школа I-III ступенів №32 м.Житомира,Загальноосвітня школа I-III ступенів №32 м.Житомира
Новоборівський ліцей Новоборівської селищної ради Хорошівського району Житомирської області,Новоборівський ліцей Новоборівської селищної ради Хорошівського району Житомирської області
Коростенський міський колегіум Житомирської області,Коростенський міський колегіум Житомирської області
Попільнянський ліцей Попільнянської селищної ради Житомирської області,Попільнянський ліцей Попільнянської селищної ради Житомирської області
Першотравнева загальноосвітня школа І-ІІІ ступенів Овруцького району Житомирської області,Першотравнева загальноосвітня школа І-ІІІ ступенів Овруцького району Житомирської області
"Комунальна установа Миропільської селищної ради ""Опорний навчальний заклад ""Миропільська гімназія""","Комунальна установа Миропільської селищної ради ""Опорний навчальний заклад ""Миропільська гімназія"""
Андріївська загальноосвітня школа І-ІІІ ступенів Черняхівського району Житомирської області,Андріївська загальноосвітня школа І-ІІІ ступенів Черняхівського району Житомирської області
Новоград-Волинська загальноосвітня школа І-ІІІ ступенів № 8 Житомирської області,Новоград-Волинська загальноосвітня школа І-ІІІ ступенів № 8 Житомирської області
Ходорківський ліцей Попільнянської селищної ради Житомирської області,Ходорківський ліцей Попільнянської селищної ради Житомирської області
"Коростенський навчально-виховний комплекс ""Школа-гімназія №2 імені Володимира Сингаївського"" Житомирської області","Коростенський навчально-виховний комплекс ""Школа-гімназія №2 імені Володимира Сингаївського"" Житомирської області"
Вільнянський ліцей Коростишівської міської ради Житомирської області,Вільнянський ліцей Коростишівської міської ради Житомирської області
Водотиївський ліцей Брусилівської селищної ради,Водотиївський ліцей Брусилівської селищної ради
Жадьківський колегіум Черняхівського району Житомирської області,Жадьківський колегіум Черняхівського району Житомирської області
Щигліївська загальноосвітня школа І-ІІІ ступенів Коростишівської міської ради Житомирської області,Щигліївська загальноосвітня школа І-ІІІ ступенів Коростишівської міської ради Житомирської області
Привітівська загальноосвітня школа І-ІІІ ступенів Любарської селищної ради Житомирської області,Привітівська загальноосвітня школа І-ІІІ ступенів Любарської селищної ради Житомирської області
Новоград-Волинська загальноосвітня школа І-ІІІ ступенів №5 Житомирської області,Новоград-Волинська загальноосвітня школа І-ІІІ ступенів №5 Житомирської області
Головинська гімназія Черняхівського району Житомирської області,Головинська гімназія Черняхівського району Житомирської області
Норинський заклад загальної середньої освіти І-ІІІ ступенів Овруцької міської ради Житомирської області,Норинський заклад загальної середньої освіти І-ІІІ ступенів Овруцької міської ради Житомирської області
Попільнянський ліцей №2 Попільнянської селищної ради Житомирської області,Попільнянський ліцей №2 Попільнянської селищної ради Житомирської області
Рейський заклад загальної середньої освіти І-ІІІ ступенів Гришковецької селищної ради Бердичівського району Житомирської області,Рейський заклад загальної середньої освіти І-ІІІ ступенів Гришковецької селищної ради Бердичівського району Житомирської області
Брусилівський ліцей імені Г.О.Готовчиця Брусилівської селищної ради,Брусилівський ліцей імені Г.О.Готовчиця Брусилівської селищної ради
"Комунальна установа Потіївської сільської ради ""Потіївський ліцей"" Радомишльського району Житомирської області","Комунальна установа Потіївської сільської ради ""Потіївський ліцей"" Радомишльського району Житомирської області"
Старосілецька гімназія Коростишівського району Житомирської області,Старосілецька гімназія Коростишівського району Житомирської області
Строківський ліцей Попільнянської селищної ради Житомирської області,Строківський ліцей Попільнянської селищної ради Житомирської області
Верхньовизницька загальноосвітня школа І-ІІІ ступенів Мукачівської районної ради Закарпатської області,Верхньовизницька загальноосвітня школа І-ІІІ ступенів Мукачівської районної ради Закарпатської області
Ужгородська спеціалізована школа І-ІІІ ступенів №5 з поглибленим вивченням іноземних мов Ужгородської міської ради Закарпатської області,Ужгородська спеціалізована школа І-ІІІ ступенів №5 з поглибленим вивченням іноземних мов Ужгородської міської ради Закарпатської області
Торуньська загальноосвітня школа І-ІІІ ступенів Міжгірської районної ради Закарпатської області,Торуньська загальноосвітня школа І-ІІІ ступенів Міжгірської районної ради Закарпатської області
Широківська загальноосвітня школа І-ІІІ ступенів Виноградівської районної ради Закарпатської області,Широківська загальноосвітня школа І-ІІІ ступенів Виноградівської районної ради Закарпатської області
Великолучківська загальноосвітня школа І-ІІІ ступенів Мукачівської районної ради Закарпатської області,Великолучківська загальноосвітня школа І-ІІІ ступенів Мукачівської районної ради Закарпатської області
Перечинська гімназія ІІ-ІІІ ступенів суспільно-гуманітарного напрямку,Перечинська гімназія ІІ-ІІІ ступенів суспільно-гуманітарного напрямку
Драгівська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області,Драгівська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області
Буштинська загальноосвітня школа І-ІІІ ступенів Буштинської селищної ради Тячівського району Закарпатської області,Буштинська загальноосвітня школа І-ІІІ ступенів Буштинської селищної ради Тячівського району Закарпатської області
Липчанська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області,Липчанська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області
Велятинська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області,Велятинська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області
Ракошинська загальноосвітня школа І-ІІІ ступенів Мукачівської районної ради Закарпатської області,Ракошинська загальноосвітня школа І-ІІІ ступенів Мукачівської районної ради Закарпатської області
Вербовецька загальноосвітня школа І-ІІІ ступенів Виноградівської районної ради Закарпатської області,Вербовецька загальноосвітня школа І-ІІІ ступенів Виноградівської районної ради Закарпатської області
Верхньокоропецька загальноосвітня школа І-ІІІ ступенів Мукачівської районної ради Закарпатської області,Верхньокоропецька загальноосвітня школа І-ІІІ ступенів Мукачівської районної ради Закарпатської області
Боронявська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області,Боронявська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області
Мукачівська загальноосвітня школа І-ІІІ ступенів № 7 Мукачівської міської ради Закарпатської області,Мукачівська загальноосвітня школа І-ІІІ ступенів № 7 Мукачівської міської ради Закарпатської області
Середньоводянська загальноосвітня школа І-ІІІ ступенів Рахівської районної ради Закарпатської області,Середньоводянська загальноосвітня школа І-ІІІ ступенів Рахівської районної ради Закарпатської області
Чумалівська загальноосвітня школа І-ІІІ ступенів Чумалівської сільської ради Тячівського району Закарпатської області,Чумалівська загальноосвітня школа І-ІІІ ступенів Чумалівської сільської ради Тячівського району Закарпатської області
Іршавський ліцей Іршавської міської ради Закарпатської області,Іршавський ліцей Іршавської міської ради Закарпатської області
Грушівська загальноосвітня школа І-ІІІ ступенів Грушівської сільської ради Тячівського району Закарпатської області,Грушівська загальноосвітня школа І-ІІІ ступенів Грушівської сільської ради Тячівського району Закарпатської області
Мукачівський ліцей Мукачівської міської ради Закарпатської області,Мукачівський ліцей Мукачівської міської ради Закарпатської області
Яношівський ліцей сільськогосподарського профілю з наданням професійної підготовки,Яношівський ліцей сільськогосподарського профілю з наданням професійної підготовки
Чинадіївська загальноосвітня школа І-ІІІ ступенів Мукачівської районної ради Закарпатської області,Чинадіївська загальноосвітня школа І-ІІІ ступенів Мукачівської районної ради Закарпатської області
Великобичківська загальноосвітня школа І-ІІІ ступенів №1 Рахівської районної ради Закарпатської області,Великобичківська загальноосвітня школа І-ІІІ ступенів №1 Рахівської районної ради Закарпатської області
Зняцівська загальноосвітня школа І-ІІІ ступенів Мукачівської районної ради Закарпатської області,Зняцівська загальноосвітня школа І-ІІІ ступенів Мукачівської районної ради Закарпатської області
Кричівська загальноосвітня школа І-ІІІ ступенів Кричівської сільської ради Тячівського району Закарпатської області,Кричівська загальноосвітня школа І-ІІІ ступенів Кричівської сільської ради Тячівського району Закарпатської області
Липовецька загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області,Липовецька загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області
Діловецька загальноосвітня школа І-ІІІ ступенів Рахівської районної ради Закарпатської області,Діловецька загальноосвітня школа І-ІІІ ступенів Рахівської районної ради Закарпатської області
Ільницька загальноосвітня школа І-ІІІ ступенів Іршавської районної ради Закарпатської області,Ільницька загальноосвітня школа І-ІІІ ступенів Іршавської районної ради Закарпатської області
Хустська загальноосвітня школа І-ІІІ ступенів №5 Хустської міської ради Закарпатської області,Хустська загальноосвітня школа І-ІІІ ступенів №5 Хустської міської ради Закарпатської області
Керецьківська загальноосвітня школа І-ІІІ ступенів Свалявської районної ради Закарпатської області,Керецьківська загальноосвітня школа І-ІІІ ступенів Свалявської районної ради Закарпатської області
Новодавидківська загальноосвітня школа І-ІІІ ступенів Мукачівської міської ради Закарпатської області,Новодавидківська загальноосвітня школа І-ІІІ ступенів Мукачівської міської ради Закарпатської області
Річанська загальноосвітня школа І-ІІІ ступенів Рахівської районної ради Закарпатської області,Річанська загальноосвітня школа І-ІІІ ступенів Рахівської районної ради Закарпатської області
Рахівська загальноосвітня школа І-ІІІ ступенів №1 Рахівської районної ради Закарпатської області,Рахівська загальноосвітня школа І-ІІІ ступенів №1 Рахівської районної ради Закарпатської області
Ужгородська загальноосвітня школа І-ІІІ ступенів №19 Ужгородської міської ради Закарпатської області,Ужгородська загальноосвітня школа І-ІІІ ступенів №19 Ужгородської міської ради Закарпатської області
Вільховецька загальноосвітня школа І-ІІІ ступенів Вільховецької сільської ради Тячівського району Закарпатської області,Вільховецька загальноосвітня школа І-ІІІ ступенів Вільховецької сільської ради Тячівського району Закарпатської області
Видричанська загальноосвітня школа І-ІІІ ступенів Рахівської районної ради Закарпатської області,Видричанська загальноосвітня школа І-ІІІ ступенів Рахівської районної ради Закарпатської області
Рокосівська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області,Рокосівська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області
Чорнопотіцька загальноосвітня школа І-ІІІ ступенів Іршавської районної ради Закарпатської області,Чорнопотіцька загальноосвітня школа І-ІІІ ступенів Іршавської районної ради Закарпатської області
Ужгородська загальноосвітня школа І-ІІІ ступенів №15 Ужгородської міської ради Закарпатської області,Ужгородська загальноосвітня школа І-ІІІ ступенів №15 Ужгородської міської ради Закарпатської області
Класична гімназія Ужгородської міської ради Закарпатської області,Класична гімназія Ужгородської міської ради Закарпатської області
Новоселицька загальноосвітня школа І-ІІІ ступенів Новоселицької сільської ради Тячівського району Закарпатської області,Новоселицька загальноосвітня школа І-ІІІ ступенів Новоселицької сільської ради Тячівського району Закарпатської області
Синевирська загальноосвітня школа І-ІІІ ступенів Міжгірської районної ради Закарпатської області,Синевирська загальноосвітня школа І-ІІІ ступенів Міжгірської районної ради Закарпатської області
Ужгородська загальноосвітня школа І-ІІІ ступенів №8 Ужгородської міської ради Закарпатської області,Ужгородська загальноосвітня школа І-ІІІ ступенів №8 Ужгородської міської ради Закарпатської області
Лохівська загальноосвітня школа І-ІІІ ступенів імені Юрія Герца Мукачівської районної ради Закарпатської області,Лохівська загальноосвітня школа І-ІІІ ступенів імені Юрія Герца Мукачівської районної ради Закарпатської області
Кошелівська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області,Кошелівська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області
Ужгородська загальноосвітня школа І-ІІІ ступенів №7 Ужгородської міської ради Закарпатської області,Ужгородська загальноосвітня школа І-ІІІ ступенів №7 Ужгородської міської ради Закарпатської області
Дерценська загальноосвітня школа І-ІІІ ступенів Мукачівської міської ради Закарпатської області,Дерценська загальноосвітня школа І-ІІІ ступенів Мукачівської міської ради Закарпатської області
Свалявська загальноосвітня школа І-ІІІ ступенів №1 Свалявської районної ради Закарпатської області,Свалявська загальноосвітня школа І-ІІІ ступенів №1 Свалявської районної ради Закарпатської області
Батівська загальноосвітня школа І-ІІІ ступенів Берегівської районної ради Закарпатської області,Батівська загальноосвітня школа І-ІІІ ступенів Берегівської районної ради Закарпатської області
Добрянська загальноосвітня школа І-ІІІ ступенів Вільховецької сільської ради Тячівського району Закарпатської області,Добрянська загальноосвітня школа І-ІІІ ступенів Вільховецької сільської ради Тячівського району Закарпатської області
Залужанська загальноосвітня школа І-ІІІ ступенів Мукачівської районної ради Закарпатської області,Залужанська загальноосвітня школа І-ІІІ ступенів Мукачівської районної ради Закарпатської області
Дубриницька загальноосвітня школа І-ІІІ ступенів Перечинського району Закарпатської області,Дубриницька загальноосвітня школа І-ІІІ ступенів Перечинського району Закарпатської області
Богданська загальноосвітня школа І-ІІІ ступенів Рахівської районної ради Закарпатської області,Богданська загальноосвітня школа І-ІІІ ступенів Рахівської районної ради Закарпатської області
Руськокомарівська загальноосвітня школа І-ІІІ ступенів Ужгородської районної ради Закарпатської області,Руськокомарівська загальноосвітня школа І-ІІІ ступенів Ужгородської районної ради Закарпатської області
Лисичівська загальноосвітня школа І-ІІІ ступенів Іршавської районної ради Закарпатської області,Лисичівська загальноосвітня школа І-ІІІ ступенів Іршавської районної ради Закарпатської області
Копашнівська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області,Копашнівська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області
"Ужгородська загальноосвітня школа І-ІІІ ступенів №20 - ліцей ""Лідер"" Ужгородської міської ради Закарпатської області","Ужгородська загальноосвітня школа І-ІІІ ступенів №20 - ліцей ""Лідер"" Ужгородської міської ради Закарпатської області"
Свалявська гімназія Свалявської районної ради Закарпатської області,Свалявська гімназія Свалявської районної ради Закарпатської області
"Комунальний заклад загальної середньої освіти ""Довжанський ліцей"" Іршавської районної ради Закарпатської області","Комунальний заклад загальної середньої освіти ""Довжанський ліцей"" Іршавської районної ради Закарпатської області"
Голятинська загальноосвітня школа І-ІІІ ступенів Міжгірської районної ради Закарпатської області,Голятинська загальноосвітня школа І-ІІІ ступенів Міжгірської районної ради Закарпатської області
Ясінянська загальноосвітня школа І-ІІІ ступенів №1 Рахівської районної ради Закарпатської області,Ясінянська загальноосвітня школа І-ІІІ ступенів №1 Рахівської районної ради Закарпатської області
Варівська загальноосвітня школа І-ІІІ ступенів з угорською мовою навчання ім. Ференца Ракоці ІІ Берегівської районної ради Закарпатської області,Варівська загальноосвітня школа І-ІІІ ступенів з угорською мовою навчання ім. Ференца Ракоці ІІ Берегівської районної ради Закарпатської області
Великоберезька загальноосвітня школа І-ІІІ ступенів Берегівської районної ради Закарпатської області,Великоберезька загальноосвітня школа І-ІІІ ступенів Берегівської районної ради Закарпатської області
Ставненська загальноосвітня школа І-ІІІ ступенів Великоберезнянської районної ради Закарпатської області,Ставненська загальноосвітня школа І-ІІІ ступенів Великоберезнянської районної ради Закарпатської області
Горінчівська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області,Горінчівська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області
Костилівська загальноосвітня школа І-ІІІ ступенів Рахівської районної ради Закарпатської області,Костилівська загальноосвітня школа І-ІІІ ступенів Рахівської районної ради Закарпатської області
Кольчинська загальноосвітня школа І-ІІІ ступенів Мукачівської районної ради Закарпатської області,Кольчинська загальноосвітня школа І-ІІІ ступенів Мукачівської районної ради Закарпатської області
Нижньоселищенська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області,Нижньоселищенська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області
Брідська загальноосвітня школа І-ІІІ ступенів Іршавської районної ради Закарпатської області,Брідська загальноосвітня школа І-ІІІ ступенів Іршавської районної ради Закарпатської області
Великобичківська загальноосвітня школа І-ІІІ ступенів №2 Рахівської районної ради Закарпатської області,Великобичківська загальноосвітня школа І-ІІІ ступенів №2 Рахівської районної ради Закарпатської області
Макарівська загальноосвітня школа І-ІІІ ступенів Мукачівської районної ради Закарпатської області,Макарівська загальноосвітня школа І-ІІІ ступенів Мукачівської районної ради Закарпатської області
Рахівська загальноосвітня школа І-ІІІ ступенів №4 Рахівської районної ради Закарпатської області,Рахівська загальноосвітня школа І-ІІІ ступенів №4 Рахівської районної ради Закарпатської області
Краснянська загальноосвітня школа І-ІІІ ступенів Краснянської сільської ради Тячівського району Закарпатської області,Краснянська загальноосвітня школа І-ІІІ ступенів Краснянської сільської ради Тячівського району Закарпатської області
Мукачівський ліцей №8 Мукачівської міської ради Закарпатської області,Мукачівський ліцей №8 Мукачівської міської ради Закарпатської області
Лютянська загальноосвітня школа І-ІІІ ступенів Великоберезнянської районної ради Закарпатської області,Лютянська загальноосвітня школа І-ІІІ ступенів Великоберезнянської районної ради Закарпатської області
Міжгірська загальноосвітня школа І-ІІІ ступенів №1 Міжгірської районної ради Закарпатської області,Міжгірська загальноосвітня школа І-ІІІ ступенів №1 Міжгірської районної ради Закарпатської області
Білківська загальноосвітня школа І-ІІІ ступенів №2 Іршавської районної ради Закарпатської області,Білківська загальноосвітня школа І-ІІІ ступенів №2 Іршавської районної ради Закарпатської області
Нижньоворітський заклад загальної середньої освіти І-ІІІ ступенів Воловецької районної ради Закарпатської області,Нижньоворітський заклад загальної середньої освіти І-ІІІ ступенів Воловецької районної ради Закарпатської області
Гатянська загальноосвітня школа І-ІІІ ступенів імені Ковача Вільмоша Берегівської районної ради Закарпатської області,Гатянська загальноосвітня школа І-ІІІ ступенів імені Ковача Вільмоша Берегівської районної ради Закарпатської області
Білоцерківська загальноосвітня школа І-ІІІ ступенів Рахівської районної ради Закарпатської області,Білоцерківська загальноосвітня школа І-ІІІ ступенів Рахівської районної ради Закарпатської області
Костринський ліцей Великоберезнянської районної ради Закарпатської області,Костринський ліцей Великоберезнянської районної ради Закарпатської області
Пилипецький ліцей Міжгірської районної ради Закарпатської області,Пилипецький ліцей Міжгірської районної ради Закарпатської області
Дусинська загальноосвітня школа І-ІІІ ступенів Свалявської районної ради Закарпатської області,Дусинська загальноосвітня школа І-ІІІ ступенів Свалявської районної ради Закарпатської області
