eoname,schoolname
Чаплинська середня загальноосвітня опорна школа Васильківського району Дніпропетровської області,Чаплинська середня загальноосвітня опорна школа Васильківського району Дніпропетровської області 
"Комунальний заклад ""Новоолександрівський навчально-виховний комплекс ""Спеціалізована загальноосвітня школа І-ІІІ ступенів з поглибленим вивченням англійської мови - дошкільний навчальний заклад комбінованого типу"" Новоолександрівської сільської ради","Комунальний заклад ""Новоолександрівський навчально-виховний комплекс ""Спеціалізована загальноосвітня школа І-ІІІ ступенів з поглибленим вивченням англійської мови- дошкільний навчальний заклад комбінованого типу"" Новоолександрівської сільської ради "
Криворізька загальноосвітня школа І-ІІІ ступенів №115 Криворізької міської ради Дніпропетровської області,Криворізька загальноосвітня школа І-ІІІ ступенів №115 Криворізької міської ради Дніпропетровської області 
"Комунальний заклад освіти ""Середня загальноосвітня школа № 98"" Дніпровської міської ради","Комунальний заклад освіти ""Середня загальноосвітня школа №98"" Дніпровської міської ради "
"Комунальний заклад ""Обухівський навчально - виховний комплекс №2 ""Загальноосвітня школа І -ІІІ ступенів - дошкільний навчальний заклад"" Дніпровської районної ради Дніпропетровської області""","Комунальний заклад ""Обухівський навчально-виховний комплекс №2 ""Загальноосвітня школа I-III ступенів- дошкільний навчальний заклад"" Дніпровської районної ради Дніпропетровської області"" "
"комунальний заклад освіти ""Братський навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів-дошкільний навчальний заклад"" Покровської селищної ради Дніпропетровської області","Комунальний заклад освіти ""Братський навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів-дошкільний навчальний заклад"" Покровської селищної ради Дніпропетровської області "
П'ятихатська загальноосвітня школа І-ІІІ ступенів № 2 П'ятихатської районної ради Дніпропетровської області,П'ятихатська загальноосвітня школа I-III ступенів №2 П'ятихатської районної ради Дніпропетровської області 
"Криворізька спеціалізована школа № 9 з поглибленим вивченням економіки, права та іноземних мов Криворізької міської ради Дніпропетровської області","Криворізька спеціалізована школа № 9 з поглибленим вивченням економіки, права та іноземних мов Криворізької міської ради Дніпропетровської області "
Загальноосвітня школа І-ІІІ ступенів с.Молодіжне Царичанської районної ради Дніпропетровської області,Загальноосвітня школа І-ІІІ ступенів с.Молодіжне Царичанської районної ради Дніпропетровської області 
Котівська загальноосвітня школа І-ІІІ ступенів Магдалинівської районної ради Дніпропетровської області,Котівська загальноосвітня школа І-ІІІ ступенів Магдалинівської районної ради Дніпропетровської області 
"Комунальний заклад освіти ""Навчально-виховний комплекс №36 "" Спеціалізована середня загальноосвітня школа техніко-економічного профілю - дошкільний навчальний заклад"" Дніпровської міської ради","Комунальний заклад освіти ""Навчально-виховний комплекс № 36 ""Спеціалізована середня загальноосвітня школа техніко-економічного профілю- дошкільний навчальний заклад"" Дніпровської міської ради "
Павлоградська загальноосвітня школа І-ІІІ ступенів № 20 Павлоградської міської ради Дніпропетровської області,Павлоградська загальноосвітня школа І-ІІІ ступенів № 20 Павлоградської міської ради Дніпропетровської області 
"Комунальний заклад освіти ""Святовасилівська середня загальноосвітня школа І-ІІІ ступенів Святовасилівської сільської ради Солонянського району Дніпропетровської області""","Комунальний заклад освіти ""Святовасилівська середня загальноосвітня школа І-ІІІ ступенів Святовасилівської сільської ради Солонянського району Дніпропетровської області"" "
"Комунальний заклад ""Новокурська школа загальної середньої освіти І-ІІІ ступенів"" Широківської селищної ради","Комунальний заклад ""Новокурська школа загальної середньої освіти І- ІІІ ступенів"" Широківської селищної ради "
"Комунальний заклад ""Бабайківська загальноосвітня школа І-ІІІ ступенів"" Царичанської селищної ради Дніпропетровської області","Комунальний заклад ""Бабайківська загальноосвітня школа І-ІІІ ступенів"" Царичанської селищної ради Дніпропетровської області "
Криворізька загальноосвітня школа І-ІІІ ступенів № 36 Криворізької міської ради Дніпропетровської області,Криворізька загальноосвітня школа І-ІІІ ступенів №36 Криворізької міської ради Дніпропетровської області 
Комунальний заклад освіти «Вишневецький навчально-виховний комплекс «загальноосвітній навчальний заклад І-ІІІ ступенів-дошкільний навчальний заклад» Роздорської селищної ради»,"Комунальний заклад освіти "" Вишневецький навчально-виховний комплекс ""Загальноосвітній навчальний заклад І-ІІІ ступенів-дошкільний навчальний заклад"" Роздорської селищної ради "
Казначеївська загальноосвітня школа І-ІІІ ступенів Магдалинівської районної ради Дніпропетровської області,Казначеївська загальноосвітня школа І-ІІІ ст. Магдалинівської районної ради Дніпропетровської області 
Марганецька гуманітарна гімназія ім. Т. Шевченка Марганецької міської ради Дніпропетровської області,Марганецька гуманітарна гімназія ім.Т.Шевченка Марганецької міської ради Дніпропетровської області
"Комунальний заклад Зеленобалківський навчально-виховний комплекс ""Загальноосвітній навчальний заклад І-ІІІ ступенів-дошкільний навчальний заклад"" Новолатівської сільської ради","Комунальний заклад Зеленобалківський навчально-виховний комплекс ""Загальноосвітній навчальний заклад І-ІІІ ступенів- дошкільний навчальний заклад"" Новолатівської сільської ради "
"Комунальний заклад ""Середня загальноосвітня школа № 38 імені І. О. Секретнюка"" Кам'янської міської ради","Комунальний заклад ""Середня загальноосвітня школа № 38 ім. І. О. Секретнюка"" Кам""янської міської ради "
"Комунальний заклад ""Середня загальноосвітня школа № 28"" Кам'янської міської ради","Комунальний заклад ""Середня загальноосвітня школа № 28"" Кам'янської міської ради "
"Комунальний заклад освіти ""Середня загальноосвітня школа № 52"" Дніпровської міської ради","Комунальний заклад освіти ""Середня загальноосвітня школа № 52"" Дніпровської міської ради "
"Комунальний заклад загальної середньої освіти ""Придніпровська загальноосвітня школа І-ІІІ ступенів Червоногригорівської селищної ради"" Нікопольського району Дніпропетровської області","Комунальний заклад загальної середньої освіти ""Придніпровська загальноосвітня школа І-ІІІ ступенів Червоногригорівської селищної ради"" Нікопольського району Дніпропетровської області "
Зеленоярська загальноосвітня школа І-ІІІ ступенів П'ятихатської районної ради Дніпропетровської області,Зеленоярська загальноосвітня школа І- ІІІ ступенів П'ятихатської районної ради Дніпропетровської області 
Великомихайлівська загальноосвітня школа І-ІІІ ступенів Великомихайлівської сільської ради Покровського району Дніпропетровської області,Великомихайлівська загальноосвітня школа І-ІІІ ступенів Великомихайлівської сільської ради Покровського району Дніпропетровської області 
"Комунальний заклад ""Василівський навчально - виховний комплекс ""Школа - дошкільний заклад"" Новомосковської районної ради Дніпропетровської області""","Комунальний заклад ""Василівський навчально- виховний комплекс "" Школа- дошкільний заклад"" Новомосковської районної ради Дніпропетровської області "
Середня загальноосвітня школа № 12 - загальноосвітній навчальний заклад І-ІІІ ступенів,Середня загальноосвітня школа № 12- загальноосвітній навчальний заклад І-ІІІ ступенів 
"Комунальний заклад ""Новодачинська загальноосвітня школа"" І-ІІІ ступенів","Комунальний заклад ""Новодачинська загальноосвітня школа І-ІІІ ступенів"" "
"Комунальний заклад ""Новоіванівська загальноосвітня школа І-ІІІ ступенів"" Юр'ївської районної ради Дніпропетровської області","Комунальний заклад ""Новоіванівська загальноосвітня школа І-ІІІ ступенів ""Юр'ївської районної ради Дніпропетровської області "
"Комунальний заклад ""Нікопольська середня загальноосвітня школа І-ІІІ ступенів №8""","Комунальний заклад ""Нікопольська середня загальноосвітня школа I-III ступенів № 8 """
"Комунальний заклад ""Новомиколаївська загальноосвітня школа І-ІІІ ступенів Сурсько-Литовської сільської ради Дніпровського району Дніпропетровської області""","Комунальний заклад ""Новомиколаївська загальноосвітня школа І-ІІІ ступенів Сурсько-Литовської сільської ради Дніпровського району Дніпропетровської області"" "
"Комунальний заклад ""Недайводський навчально-виховний комплекс (загальноосвітня школа І-ІІІ ступенів - дошкільний навчальний заклад)"" Криворізької районної ради Дніпропетровської області","Комунальний заклад ""Недайводський навчально-виховний комплекс (загальноосвітня школа І-ІІІ ступенів- дошкільний навчальний заклад)"" Криворізької районної ради Дніпропетровської області "
"Комунальний заклад ""Миколаївська загальноосвітня школа №2 І-ІІІ ступенів"" Дніпровської районної ради Дніпропетровської області""","Комунальний заклад ""Миколаївська загальноосвітня школа №2 І-ІІІ ступенів"" Дніпровської районної ради Дніпропетровської області"" "
Першотравенська загальноосвітня школа І-ІІІ ступенів №4,Першотравенська загальноосвітня школа І-ІІІ ступенів № 4
"Комунальний заклад ""Степнянська загальноосвітня школа І-ІІІ ступенів Слобожанської селищної ради""","Комунальний заклад ""Степнянська загальноосвітня школа І- ІІІ ступенів Слобожанської селищної ради"" "
"Опорний комунальний навчальний заклад ""Софіївська загальноосвітня школа І-ІІІ ступенів"" Криворізької районної ради Дніпропетровської області","Опорний комунальний навчальний заклад ""Софіївська загальноосвітня школа І-ІІІ ступенів"" Криворізької районної ради Дніпропетровської області "
Ордо-Василівська загальноосвітня школа І - ІІІ ступенів Софіївської районної ради Дніпропетровської області,Ордо- Василівська загальноосвітня школа I-III ступенів Софіївської районної ради Дніпропетровської області 
Криворізька загальноосвітня школа І-ІІІ ступенів № 34 Криворізької міської ради Дніпропетровської області,Криворізька загальноосвітня школа І-ІІІ ступенів №34 Криворізької міської ради Дніпропетровської області 
"Комунальний навчальний заклад ""Широківська загальноосвітня школа І-ІІІ ступенів"" Криворізької районної ради Дніпропетровської області","Комунальний навчальний заклад ""Широківська загальноосвітня школа І-ІІІ ступенів"" Криворізької районної ради Дніпропетровської області "
"Комунальний заклад ""Кочерезький навчально-виховний комплекс ""Кочерезька загальноосвітня школа I-III ступенів - дитячий садок""""","Комунальний заклад ""Кочерезький навчально-виховний комплекс ""Кочерезька загальноосвітня школа І-ІІІ ступенів- дитячий садок"" "
"Комунальний заклад освіти ""Іванівська загальноосвітня школа І-ІІІ ступенів"" Межівської селищної ради","Комунальний заклад освіти ""Іванівська загальноосвітня школа І-ІІІ ступенів"" Межівської селищної ради"" "
"Комунальний заклад освіти ""Військова середня загальноосвітня школа І-ІІІ ступенів Солонянської районної ради Дніпропетровської області""","Комунальний заклад освіти ""Військова середня загальноосвітня школа І-ІІІ ступенів Солонянської районної ради Дніпропетровської області"" "
"Комунальний заклад освіти ""Новогригорівська загальноосвітня школа І-ІІІ ступенів"" Межівської селищної ради","Комунальний заклад освіти ""Новогригорівська загальноосвітня школа І-ІІІ ступенів"" Межівської селищної ради"" "
"Долинський НВК ""загальноосвітній навчальний заклад - дошкільний навчальний заклад"" П'ятихатської районної ради Дніпропетровської області","Долинський навчально- виховний комплекс "" загальноосвітній навчальний заклад-дошкільний навчальний заклад"" П'ятихатської районної ради Дніпропетровської області "
Хорошівська загальноосвітня школа І-ІІІ ступенів з музично-хореографічним профілем Петропавлівської районної ради Дніпропетровської області,Хорошівська загальноосвітня школа І-ІІІ ступенів з музично-хореографічним профілем Петропавлівської районної ради Дніпропетровської області 
Вишнева загальноосвітня школа І - ІІІ ступенів Софіївської районної ради Дніпропетровської області,Вишнева загальноосвітня школа І-ІІІ ступенів Софіївської районної ради Дніпропетровської області 
"Шевченківський навчально-виховний комплекс ""загальноосвітній навчальний заклад-дошкільний навчальний заклад"" Васильківського району Дніпропетровської області","Шевченківський навчально-виховний комплекс ""загальноосвітній навчальний заклад- дошкільний навчальний заклад"" Васильківського району Дніпропетровської області "
Письменська середня загальноосвітня школа Васильківського району Дніпропетровської області,Письменська середня загальноосвітня школа Васильківського району Дніпропетровської області 
Криничуватська загальноосвітня школа І-ІІІ ступенів Нікопольської районної ради Дніпропетровської області,Криничуватська загальноосвітня школа І- ІІІ ступенів Нікопольської районної ради Дніпропетровської області 
"Комунальний навчальний заклад ""Радіонівська загальноосвітня школа І-ІІІ ступенів"" Криворізької районної ради Дніпропетровської області","Комунальний навчальний заклад ""Радіонівська загальноосвітня школа І-ІІІ ступенів"" Криворізької районної ради Дніпропетровської області "
"Комунальний заклад ""Вільненський навчально - виховний комплекс ""Школа - дошкільний заклад"" Новомосковської районної ради Дніпропетровської області","Комунальний заклад ""Вільненський навчально-виховний комплекс ""Школа- дошкільний заклад"" Новомосковської районної ради Дніпропетровської області "
"Комунальний заклад ""Олександрівський навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів- дошкільний навчальний заклад"" Юр'ївської районної ради Дніпропетровської області","Комунальний заклад ""Олександрівський навчально- виховний комплекс "" Загальноосвітня школа I-III ступенів- дошкільний навчальний заклад"" Юр'ївської районної ради Дніпропетровської області "
"Комунальний заклад ""Середня загальноосвітня школа №4 м.Покров Дніпропетровської області""","Комунальний заклад ""Середня загальноосвітня школа № 4 м.Покров Дніпропетровської області"" "
Жовтянська загальноосвітня школа І-ІІІ ступенів П'ятихатської районної ради Дніпропетровської області,Жовтянська загальноосвітня школа І- ІІІ ступенів П'ятихатської районної ради Дніпропетровської області 
Чумаківська загальноосвітня школа І-ІІІ ступенів Петропавлівської районної ради Дніпропетровської області,Чумаківська загальноосвітня школа І-ІІI ступенів Петропавлівської районної ради Дніпропетровської області
"Комунальний заклад ""Карабинівська загальноосвітня школа І-ІІІ ступенів""","Комунальний заклад ""Карабинівська загальноосвітня школа І- ІІІ ступенів"" "
Загальноосвітня школа I-III ступенів № 9 Покровської міської ради Донецької області,Загальноосвітня школа І-ІІІ ступенів № 9 Покровської міської ради Донецької області
Вугледарська загальноосвітня школа I-III ступенів № 2 Вугледарської міської ради Донецької області,Вугледарська загальноосвітня школа І-ІІІ ступенів №2 Вугледарської міської ради Донецької області 
Комунальний заклад «Маріупольська загальноосвітня школа І-ІІІ ступенів №65 Маріупольської міської ради Донецької області»,"Комунальний заклад ""Маріупольська загальноосвітня школа І-ІІІ ступенів № 65 Маріупольської міської ради Донецької області"""
Загальноосвітня школа I-III ступенів №1 Мирноградської міської ради Донецької області,Загальноосвітня школа І-ІІІ ступенів № 1 Мирноградської міської ради Донецької області 
Новолуганська загальноосвітня школа I-III ступенів Бахмутської районної ради Донецької області,Новолуганська загальноосвітня школа І-ІІІ ступенів Бахмутської районної ради Донецької області
Комунальний заклад «Маріупольська спеціалізована школа І-ІІІ ступенів №8 імені Героя України Бойка В.С. Маріупольської міської ради Донецької області»,"Комунальний заклад «Маріупольська спеціалізована школа І-ІІІ ступенів №8 імені Героя України Бойка В.С. Маріупольської міської ради Донецької області""_x000D_ "
Комунальний заклад «Маріупольська загальноосвітня школа І-ІІІ ступенів №50 Маріупольської міської ради Донецької області»,"Комунальний заклад ""Маріупольська загальноосвітня школа І-ІІІ ступенів №50 Маріупольської міської ради Донецької області"""
Комунальний заклад «Маріупольська загальноосвітня школа І-ІІІ ступенів №67 Маріупольської міської ради Донецької області»,"Комунальний заклад ""Маріупольська загальноосвітня школа І-ІІІ ступенів №67 Маріупольської міської ради Донецької області"""
Комунальний заклад «Маріупольський навчально-виховний комплекс «Ліцей-школа № 48» Маріупольської міської ради Донецької області»,"Комунальний заклад ""Маріупольський навчально-виховний комплекс ""Ліцей- школа №48"" Маріупольської міської ради Донецької області"""
Лиманська загальноосвітня школа I-III ступенів № 3 Лиманської міської ради Донецької області,Лиманська загальноосвітня школа І-ІІІ ступенів № 3 Лиманської міської ради Донецької області
Комунальний заклад «Маріупольська загальноосвітня школа І-ІІІ ступенів №52 Маріупольської міської ради Донецької області»,"Комунальний заклад ""Маріупольська загальноосвітня школа І-ІІІ ступенів №52 Маріупольської міської ради Донецької області """
Гірницька загальноосвітня школа I-III ступенів № 17 Селидівської міської ради Донецької області,Гірницька загальноосвітня школа І- ІІІ ступенів № 17 Селидівської міської ради Донецької області
"Комунальний заклад ""Зеленоярська загальноосвітня школа I-III ступенів Нікольської районної ради Донецької області""","Комунальний заклад ""Зеленоярська загальноосвітня школа І-ІІІ ступенів Нікольської районної ради Донецької області"
Костянтинівська загальноосвітня школа І - ІІІ ступенів Мар'їнської районної ради Донецької області,Костянтинівська загальноосвітня школа І-ІІІ ступенів Мар’їнської районної ради Донецької області
Краматорська загальноосвітня школа I-III ступенів № 30 Краматорської міської ради Донецької області,Краматорська загальноосвітня школа І-ІІІ ступенів №30 Краматорської міської ради Донецької області
"Комунальний заклад ""Нікольська загальноосвітня школа I-III ступенів №1 імені Якименка А.Д. Нікольської районної ради Донецької області"" опорна школа","Комунальний заклад ""Нікольська загальноосвітня школа І-ІІІ ступенів № 1 імені Якименка А.Д. Нікольської районної ради Донецької області (опорна школа)"
Слов'янська загальноосвітня школа I-III ступенів № 17 Слов'янської міської ради Донецької області,Слов’янська загальноосвітня школа І-ІІІ ступенів № 17 Слов’янської міської ради Донецької області
Українська загальноосвітня школа I-III ступенів № 12 Селидівської міської ради Донецької області,Українська загальноосвітня школа І- ІІІ ступенів № 12 Селидівської міської ради Донецької області
Комунальний заклад «Маріупольська загальноосвітня школа І-ІІІ ступенів №34 Маріупольської міської ради Донецької області»,"Комунальний заклад ""Маріупольська загальноосвітня школа І-ІІІ ступенів №34 Маріупольської міської ради Донецької області""_x000D_ "
Білозерська загальноосвітня школа I-III ступенів №15 Добропільської міської ради Донецької області,Білозерська загальноосвітня школа І-ІІІ ступенів № 15 Добропільської міської ради Донецької області
Навчально-виховний комплекс №1 Покровської міської ради Донецької області,Навчально-виховний комплекс № 1 Покровської міської ради Донецької області
Слов'янська загальноосвітня школа I-III ступенів № 5 Слов'янської міської ради Донецької області,Слов’янська загальноосвітня школа І-ІІІ ступенів № 5 Слов’янської міської ради Донецької області
Лиманська загальноосвітня школа I-III ступенів № 4 Лиманської міської ради Донецької області,Лиманська загальноосвітня школа І-ІІІ ступенів № 4 Лиманської міської ради Донецької області
Краматорська загальноосвітня школа I-III ступенів № 8 Краматорської міської ради Донецької області,Краматорська загальноосвітня школа І-ІІІ ступенів №8 Краматорської міської ради Донецької області
Комунальний заклад «Спеціалізована школа І-ІІІ ступенів №5 з поглибленим вивченням окремих предметів Маріупольської міської ради Донецької області»,"Комунальний заклад ""Спеціалізована школа І-ІІІ ступенів №5 з поглибленим вивченням окремих предметів Маріупольської міської ради Донецької області"""
Бахмутська загальноосвітня школа I-III ступенів №18 ім. Дмитра Чернявського Бахмутської міської ради Донецької області,Бахмутська загальноосвітня школа І-ІІІ ступенів № 18 ім. Дмитра Чернявського Бахмутської міської ради Донецької області
Слов'янська загальноосвітня школа I-III ступенів № 4 Слов'янської міської ради Донецької області,Слов’янська загальноосвітня школа І-ІІІ ступенів № 4 Слов’янської міської ради Донецької області
Краматорська загальноосвітня школа I-III ступенів № 2 Краматорської міської ради Донецької області,Краматорська загальноосвітня школа І-ІІІ ступенів № 2 Краматорської міської ради Донецької області
Новодонецька загальноосвітня школа I-III ступенів №17 Добропільської міської ради Донецької області,Новодонецька загальноосвітня школа І-ІІІ ступенів № 17 Добропільської міської ради Донецької області
Миколаївський заклад загальної середньої освіти І-ІІІ ступенів № 2 Миколаївської міської ради Слов’янського району Донецької області,Миколаївський заклад загальної середньої освіти І-ІІІ ступенів №2 Миколаївської міської ради Слов’янського району Донецької області
Комунальний заклад «Маріупольський навчально-виховний комплекс «гімназія-школа» №1 Маріупольської міської ради Донецької області»,"Комунальний заклад ""Маріупольський навчально-виховний комплекс ""гімназія-школа"" № 1 Маріупольської міської ради Донецької області"""
Іверська загальноосвітня школа I-III ступенів Олександрівської районної ради Донецької області,Іверська загальноосвітня школа І-ІІІ ступенів Олександрівської районної ради Донецької області
Ярівська загальноосвітня школа I-III ступенів Лиманської міської ради Донецької області,Ярівська загальноосвітня школа І-ІІІ ступенів Лиманської міської ради Донецької області
"Комунальний заклад ""Тополинська загальноосвітня школа I-III ступенів Нікольської районної ради Донецької області""","Комунальний заклад ""Тополинська загальноосвітня школа І-ІІІ ступенів Нікольської районної ради Донецької області"
Костянтинівська загальноосвітня школа I-III ступенів № 4 Костянтинівської міської ради Донецької області,Костянтинівська загальноосвітня школа І-ІІІ ступенів № 4 Костянтинівської міської ради Донецької області
Слов'янська загальноосвітня школа I-III ступенів № 16 Слов'янської міської ради Донецької області,Слов’янська загальноосвітня школа І-ІІІ ступенів № 16 Слов’янської міської ради Донецької області
Новодонецька загальноосвітня школа I-III ступенів №16 Добропільської міської ради Донецької області,Новодонецька загальноосвітня школа І-ІІІ ступенів № 16 Добропільської міської ради Донецької області
"Добропільський навчально-виховний комплекс ""Спеціалізована школа I-III ступенів №4 з поглибленим вивченням окремих предметів - дошкільний навчальний заклад"" Добропільської міської ради Донецької області",Добропільський навчально-виховний комплекс «Спеціалізована школа І-ІІІ ступенів № 4 з поглибленим вивченням окремих предметів -дошкільний навчальний заклад» Добропільської міської ради Донецької області
Костянтинівська загальноосвітня школа I-III ступенів № 16 Костянтинівської міської ради Донецької області,Костянтинівська загальноосвітня школа І-ІІІ ступенів № 16 Костянтинівської міської ради Донецької області
Слов'янська загальноосвітня школа I-III ступенів № 12 Слов'янської міської ради Донецької області,Слов’янська загальноосвітня школа І-ІІІ ступенів № 12 Слов’янської міської ради Донецької області
Слов'янська загальноосвітня школа I-III ступенів № 10 Слов'янської міської ради Донецької області,Слов’янська загальноосвітня школа І-ІІІ ступенів № 10 Слов’янської міської ради Донецької області 
Комунальний заклад «Маріупольська загальноосвітня школа І-ІІІ ступенів №33 Маріупольської міської ради Донецької області»,"Комунальний заклад ""Маріупольська загальноосвітня школа І- ІІІ ступенів №33 Маріупольської міської ради Донецької області"""
Комунальний заклад «Маріупольська загальноосвітня школа І-ІІІ ступенів №10 Маріупольської міської ради Донецької області»,"Комунальний заклад ""Маріупольська загальноосвітня школа І-ІІІ ступенів №10 Маріупольської міської ради Донецької області"""
Краматорська загальноосвітня школа I-III ступенів № 17 Краматорської міської ради Донецької області,Краматорська загальноосвітня школа І-ІІІ ступенів № 17 Краматорської міської ради Донецької області
