eoname,schoolname
"Костянтинівський ліцей ""Ерудит"" Мелітопольської районної ради Запорізької області","Костянтинівський ліцей ""Ерудит"" Мелітопольської районної ради Запорізької області"
Запорізька загальноосвітня школа І-ІІІ ступенів №37 Запорізької міської ради Запорізької області,Запорізька загальноосвітня школа І-ІІІ ступенів №37 Запорізької міської ради Запорізької області
"Запорізький багатопрофільний ліцей ""Перспектива"" Запорізької міської ради Запорізької області","Запорізький багатопрофільний ліцей ""Перспектива"" Запорізької міської ради Запорізької області"
Ліцей №10 Мелітопольської міської ради Запорізької області,Ліцей №10 Мелітопольської міської ради Запорізької області
Запорізька загальноосвітня школа І-ІІІ ступенів №103 Запорізької міської ради Запорізької області,Запорізька загальноосвітня школа І-ІІІ ступенів №103 Запорізької міської ради Запорізької області
Запорізька загальноосвітня школа I-III ступенів №88 Запорізької міської ради Запорізької області,Запорізька загальноосвітня школа I-III ступенів №88 Запорізької міської ради Запорізької області
Запорізька гімназія № 93 Запорізької міської ради Запорізької області,Запорізька гімназія № 93 Запорізької міської ради Запорізької області
Запорізький багатопрофільний ліцей № 99 Запорізької міської ради Запорізької області,Запорізький багатопрофільний ліцей № 99 Запорізької міської ради Запорізької області
Запорізький технічний ліцей Запорізької міської ради Запорізької області,Запорізький технічний ліцей Запорізької міської ради Запорізької області
Мелітопольська спеціалізована школа І-ІІІ ступенів № 23 Мелітопольської міської ради Запорізької області,Мелітопольська спеціалізована школа І-ІІІ ступенів № 23 Мелітопольської міської ради Запорізької області
"Матвіївський загальноосвітній навчально-виховний комплекс ""Всесвіт"" Вільнянської районної ради Запорізької області","Матвіївський загальноосвітній навчально-виховний комплекс ""Всесвіт"" Вільнянської районної ради Запорізької області"
Запорізький Академічний ліцей Запорізької міської ради Запорізької області,Запорізький Академічний ліцей Запорізької міської ради Запорізької області
"Комунальний заклад ""Приморський регіональний українсько-болгарський багатопрофільний ліцей ІІ-ІІІ ступенів"" Приморської міської ради Приморського району Запорізької області","Комунальний заклад ""Приморський регіональний українсько-болгарський багатопрофільний ліцей ІІ-ІІІ ступенів"" Приморської міської ради Приморського району Запорізької області"
Чернігівська загальноосвітня школа І-ІІІ ступенів Чернігівської селищної ради Чернігівського району Запорізької області,Чернігівська загальноосвітня школа І-ІІІ ступенів Чернігівської селищної ради Чернігівського району Запорізької області
Запорізька загальноосвітня школа І-ІІІ ступенів № 87 Запорізької міської ради Запорізької області,Запорізька загальноосвітня школа І-ІІІ ступенів № 87 Запорізької міської ради Запорізької області
"Запорізький колегіум ""Мала гуманітарна академія"" Запорізької міської ради Запорізької області","Запорізький колегіум ""Мала гуманітарна академія"" Запорізької міської ради Запорізької області"
Запорізька загальноосвітня школа І-ІІІ ступенів № 30 Запорізької міської ради Запорізької області,Запорізька загальноосвітня школа І-ІІІ ступенів № 30 Запорізької міської ради Запорізької області
Просторівська загальноосвітня школа І-ІІІ ступенів Чернігівської селищної ради Чернігівського району Запорізької області,Просторівська загальноосвітня школа І-ІІІ ступенів Чернігівської селищної ради Чернігівського району Запорізької області
"Комунальний заклад ""Дніпрорудненська гімназія ""Софія"" - загальноосвітня школа І-ІІІ ступенів № 1"" Василівської районної ради Запорізької області","Комунальний заклад ""Дніпрорудненська гімназія ""Софія"" - загальноосвітня школа І-ІІІ ступенів № 1"" Василівської районної ради Запорізької області"
Запорізька загальноосвітня школа І-ІІІ ступенів № 32 Запорізької міської ради Запорізької області,Запорізька загальноосвітня школа І-ІІІ ступенів № 32 Запорізької міської ради Запорізької області
Запорізька гімназія №71 з поглибленим вивченням іноземної мови Запорізької міської ради Запорізької області,Запорізька гімназія №71 з поглибленим вивченням іноземної мови Запорізької міської ради Запорізької області
Запорізька загальноосвітня школа І-ІІІ ступенів № 89 Запорізької міської ради Запорізької області,Запорізька загальноосвітня школа І-ІІІ ступенів № 89 Запорізької міської ради Запорізької області
Запорізька гімназія № 31 Запорізької міської ради Запорізької області,Запорізька гімназія № 31 Запорізької міської ради Запорізької області
Запорізька гімназія № 50 Запорізької міської ради Запорізької області,Запорізька гімназія № 50 Запорізької міської ради Запорізької області
Солоненський навчально-виховний комплекс Вільнянської районної ради Запорізької області,Солоненський навчально-виховний комплекс Вільнянської районної ради Запорізької області
Кіровська загальноосвітня школа І-ІІІ ступенів Токмацької районної ради Запорізької області,Кіровська загальноосвітня школа І-ІІІ ступенів Токмацької районної ради Запорізької області
"Кушугумський навчально-виховний комплекс ""школа І-ІІІ ступенів - гімназія ""Інтелект"" Запорізького району Запорізької області","Кушугумський навчально-виховний комплекс ""школа І-ІІІ ступенів - гімназія ""Інтелект"" Запорізького району Запорізької області"
Вільнянська загальноосвітня школа І-ІІІ ступенів №2 Вільнянської районної ради Запорізької області,Вільнянська загальноосвітня школа І-ІІІ ступенів №2 Вільнянської районної ради Запорізької області
Запорізька загальноосвітня школа І-ІІІ ступенів № 3 Запорізької міської ради Запорізької області,Запорізька загальноосвітня школа І-ІІІ ступенів № 3 Запорізької міської ради Запорізької області
"Комунальний заклад ""Навчально-виховний комплекс ""Якимівська гімназія"" Якимівської селищної ради Якимівського району Запорізької області""","Комунальний заклад ""Навчально-виховний комплекс ""Якимівська гімназія"" Якимівської селищної ради Якимівського району Запорізької області"""
Августинівський заклад загальної середньої освіти Широківської сільської ради Запорізького району Запорізької області,Августинівський заклад загальної середньої освіти Широківської сільської ради Запорізького району Запорізької області
Мелітопольська загальноосвітня школа І-ІІІ ступенів № 4 Мелітопольської міської ради Запорізької області,Мелітопольська загальноосвітня школа І-ІІІ ступенів № 4 Мелітопольської міської ради Запорізької області
Запорізький класичний ліцей Запорізької міської ради Запорізької області,Запорізький класичний ліцей Запорізької міської ради Запорізької області
Великотернівська загальноосвітня школа І-ІІІ ступенів Якимівської районної ради Запорізької області,Великотернівська загальноосвітня школа І-ІІІ ступенів Якимівської районної ради Запорізької області
"Запорізький ліцей ""Логос"" Запорізької міської ради Запорізької області","Запорізький ліцей ""Логос"" Запорізької міської ради Запорізької області"
Запорізька загальноосвітня школа І-ІІІ ступенів № 51 Запорізької міської ради Запорізької області,Запорізька загальноосвітня школа І-ІІІ ступенів № 51 Запорізької міської ради Запорізької області
Запорізька загальноосвітня школа І-ІІІ ступенів № 5 Запорізької міської ради Запорізької області,Запорізька загальноосвітня школа І-ІІІ ступенів № 5 Запорізької міської ради Запорізької області
"Комунальний заклад ""Опорний заклад загальної середньої освіти ""Сузір'я"" Оріхівської міської ради","Комунальний заклад ""Опорний заклад загальної середньої освіти ""Сузір'я"" Оріхівської міської ради"
Бердянський муніципальний ліцей Бердянської міської ради Запорізької області,Бердянський муніципальний ліцей Бердянської міської ради Запорізької області
Вільнянська загальноосвітня школа І-ІІІ ступенів №1 Вільнянської районної ради Запорізької області,Вільнянська загальноосвітня школа І-ІІІ ступенів №1 Вільнянської районної ради Запорізької області
Петропільський опорний заклад загальної середньої освіти Широківської сільської ради Запорізького району Запорізької області,Петропільський опорний заклад загальної середньої освіти Широківської сільської ради Запорізького району Запорізької області
Мелітопольська загальноосвітня школа І-ІІІ ступенів № 6 Мелітопольської міської ради Запорізької області,Мелітопольська загальноосвітня школа І-ІІІ ступенів № 6 Мелітопольської міської ради Запорізької області
"Вільнянська гімназія ""Світоч"" Вільнянської районної ради Запорізької області","Вільнянська гімназія ""Світоч"" Вільнянської районної ради Запорізької області"
Запорізька загальноосвітня школа І-ІІІ ступенів № 91 Запорізької міської ради Запорізької області,Запорізька загальноосвітня школа І-ІІІ ступенів № 91 Запорізької міської ради Запорізької області
Запорізький загальноосвітній багатопрофільний навчально-виховний комплекс № 106 Запорізької міської ради Запорізької області,Запорізький загальноосвітній багатопрофільний навчально-виховний комплекс № 106 Запорізької міської ради Запорізької області
"Григорівський навчально-виховний комплекс ""загальноосвітній навчальний заклад - дошкільний навчальний заклад"" Запорізького району Запорізької області","Григорівський навчально-виховний комплекс ""загальноосвітній навчальний заклад - дошкільний навчальний заклад"" Запорізького району Запорізької області"
Запорізька спеціалізована школа з поглибленим вивченням іноземної мови №7 Запорізької міської ради Запорізької області,Запорізька спеціалізована школа з поглибленим вивченням іноземної мови №7 Запорізької міської ради Запорізької області
"Комунальний заклад ""Радивонівська загальноосвітня школа І-ІІІ ступенів Якимівської селищної ради Якимівського району Запорізької області""","Комунальний заклад ""Радивонівська загальноосвітня школа І-ІІІ ступенів Якимівської селищної ради Якимівського району Запорізької області"""
Молочанська загальноосвітня школа І-ІІІ ступенів Токмацької районної ради Запорізької області,Молочанська загальноосвітня школа І-ІІІ ступенів Токмацької районної ради Запорізької області
Мелітопольська загальноосвітня школа І-ІІІ ступенів №11 Мелітопольської міської ради Запорізької області,Мелітопольська загальноосвітня школа І-ІІІ ступенів №11 Мелітопольської міської ради Запорізької області
Запорізька загальноосвітня школа І-ІІІ ступенів № 86 Запорізької міської ради Запорізької області,Запорізька загальноосвітня школа І-ІІІ ступенів № 86 Запорізької міської ради Запорізької області
"Запорізька єврейська гімназія ""ОРТ-Алєф"" Запорізької міської ради Запорізької області","Запорізька єврейська гімназія ""ОРТ-Алєф"" Запорізької міської ради Запорізької області"
Запорізька загальноосвітня школа І-ІІІ ступенів № 15 Запорізької міської ради Запорізької області,Запорізька загальноосвітня школа І-ІІІ ступенів № 15 Запорізької міської ради Запорізької області
"Комунальний заклад ""Веселівська загальноосвітня школа І-ІІІ ступенів № 1 Веселівської селищної ради""","Комунальний заклад ""Веселівська загальноосвітня школа І-ІІІ ступенів № 1 Веселівської селищної ради"""
Андріївська спеціалізована різнопрофільна школа І-ІІІ ступенів Бердянської районної ради Запорізької області,Андріївська спеціалізована різнопрофільна школа І-ІІІ ступенів Бердянської районної ради Запорізької області
"Вознесенська гімназія ""Орієнтир"" Мелітопольської районної ради Запорізької області","Вознесенська гімназія ""Орієнтир"" Мелітопольської районної ради Запорізької області"
Бердянська загальноосвітня школа І-ІІІ ступенів № 1 Бердянської міської ради Запорізької області,Бердянська загальноосвітня школа І-ІІІ ступенів № 1 Бердянської міської ради Запорізької області
"Комунальний заклад ""Тополинська загальноосвітня школа І-ІІІ ступенів"" Василівської районної ради Запорізької області","Комунальний заклад ""Тополинська загальноосвітня школа І-ІІІ ступенів"" Василівської районної ради Запорізької області"
Новогорівський опорний заклад загальної середньої освіти І-ІІІ ступенів Токмацької районної ради Запорізької області,Новогорівський опорний заклад загальної середньої освіти І-ІІІ ступенів Токмацької районної ради Запорізької області
"Комунальний заклад ""Степногірська загальноосвітня школа І-ІІІ ступенів"" Василівської районної ради Запорізької області","Комунальний заклад ""Степногірська загальноосвітня школа І-ІІІ ступенів"" Василівської районної ради Запорізької області"
Новогупалівський навчально-виховний комплекс Вільнянської районної ради Запорізької області,Новогупалівський навчально-виховний комплекс Вільнянської районної ради Запорізької області
Новенська загальноосвітня школа І-ІІІ ступенів Токмацької районної ради Запорізької області,Новенська загальноосвітня школа І-ІІІ ступенів Токмацької районної ради Запорізької області
Люцернянський навчально-виховний комплекс Михайлівської сільської ради Вільнянського району Запорізької області,Люцернянський навчально-виховний комплекс Михайлівської сільської ради Вільнянського району Запорізької області
"Володимирівський заклад загальної середньої освіти ""Успіх"" Широківської сільської ради Запорізького району Запорізької області","Володимирівський заклад загальної середньої освіти ""Успіх"" Широківської сільської ради Запорізького району Запорізької області"
Миколаївська загальноосвітня школа І-ІІІ ступенів Берестівської сільської ради Бердянського району Запорізької області,Миколаївська загальноосвітня школа І-ІІІ ступенів Берестівської сільської ради Бердянського району Запорізької області
"Комунальний заклад ""Орлянська загальноосвітня школа І-ІІІ ступенів"" Василівської районної ради Запорізької області","Комунальний заклад ""Орлянська загальноосвітня школа І-ІІІ ступенів"" Василівської районної ради Запорізької області"
Білоцерківська загальноосвітня школа I-III ступенів Комиш-Зорянської селищної ради Більмацького району Запорізької області,Білоцерківська загальноосвітня школа I-III ступенів Комиш-Зорянської селищної ради Більмацького району Запорізької області
Відраднівський заклад загальної середньої освіти Широківської сільської ради Запорізького району Запорізької області,Відраднівський заклад загальної середньої освіти Широківської сільської ради Запорізького району Запорізької області
Мелітопольська загальноосвітня школа І-ІІІ ступенів № 20 Мелітопольської міської ради Запорізької області,Мелітопольська загальноосвітня школа І-ІІІ ступенів № 20 Мелітопольської міської ради Запорізької області
Запорізька загальноосвітня школа І-ІІІ ступенів №14 Запорізької міської ради Запорізької області,Запорізька загальноосвітня школа І-ІІІ ступенів №14 Запорізької міської ради Запорізької області
"Терпіннівський колегіум ""Джерело"" Мелітопольської районної ради Запорізької області","Терпіннівський колегіум ""Джерело"" Мелітопольської районної ради Запорізької області"
Берестівська загальноосвітня школа І-ІІІ ступенів Берестівської сільської ради Бердянського району Запорізької області,Берестівська загальноосвітня школа І-ІІІ ступенів Берестівської сільської ради Бердянського району Запорізької області
Астраханська загальноосвітня школа І-ІІІ ступенів Мелітопольської районної ради Запорізької області,Астраханська загальноосвітня школа І-ІІІ ступенів Мелітопольської районної ради Запорізької області
Біленьківська загальноосвітня школа І-ІІІ ступенів Біленьківської сільської ради Запорізького району Запорізької області,Біленьківська загальноосвітня школа І-ІІІ ступенів Біленьківської сільської ради Запорізького району Запорізької області
Остриківська загальноосвітня школа І-ІІІ ступенів Остриківської сільської ради Токмацького району Запорізької області,Остриківська загальноосвітня школа І-ІІІ ступенів Остриківської сільської ради Токмацького району Запорізької області
Запорізький навчально-виховний комплекс № 109 Запорізької міської ради Запорізької області,Запорізький навчально-виховний комплекс № 109 Запорізької міської ради Запорізької області
Ільїнський навчально-виховний комплекс Чернігівської селищної ради Чернігівського району Запорізької області,Ільїнський навчально-виховний комплекс Чернігівської селищної ради Чернігівського району Запорізької області
Опорний навчально-виховний заклад Чернігівська загальноосвітня школа І-ІІІ ступенів імені Героя Радянського Союзу А.М.Темника Чернігівської селищної ради Чернігівського району Запорізької області,Опорний навчально-виховний заклад Чернігівська загальноосвітня школа І-ІІІ ступенів імені Героя Радянського Союзу А.М.Темника Чернігівської селищної ради Чернігівського району Запорізької області
Бердянська загальноосвітня школа І-ІІІ ступенів № 20 Бердянської міської ради Запорізької області,Бердянська загальноосвітня школа І-ІІІ ступенів № 20 Бердянської міської ради Запорізької області
Новополтавська загальноосвітня школа І-ІІІ ступенів Чернігівської селищної ради Чернігівського району Запорізької області,Новополтавська загальноосвітня школа І-ІІІ ступенів Чернігівської селищної ради Чернігівського району Запорізької області
"Комунальний заклад ""Навчально-виховний комплекс ""Основа"" Преображенської сільської ради Оріхівського району Запорізької області","Комунальний заклад ""Навчально-виховний комплекс ""Основа"" Преображенської сільської ради Оріхівського району Запорізької області"
"Комунальний заклад ""Балківська загальноосвітня школа І-ІІІ ступенів"" Василівської районної ради Запорізької області","Комунальний заклад ""Балківська загальноосвітня школа І-ІІІ ступенів"" Василівської районної ради Запорізької області"
Троянська загальноосвітня школа І-ІІІ ступенів Бердянської районної ради Запорізької області,Троянська загальноосвітня школа І-ІІІ ступенів Бердянської районної ради Запорізької області
Семененківський навчально-виховний комплекс Павлівської сільської ради Вільнянського району Запорізької області,Семененківський навчально-виховний комплекс Павлівської сільської ради Вільнянського району Запорізької області
"Комунальний заклад ""Таврійська загальноосвітня школа І-ІІІ ступенів Якимівської селищної ради Якимівського району Запорізької області""","Комунальний заклад ""Таврійська загальноосвітня школа І-ІІІ ступенів Якимівської селищної ради Якимівського району Запорізької області"""
Запорізька загальноосвітня школа І-ІІІ ступенів № 104 Запорізької міської ради Запорізької області,Запорізька загальноосвітня школа І-ІІІ ступенів № 104 Запорізької міської ради Запорізької області
"Комунальний заклад ""Переможненська загальноосвітня школа І-ІІІ ступенів Якимівської селищної ради Якимівського району Запорізької області""","Комунальний заклад ""Переможненська загальноосвітня школа І-ІІІ ступенів Якимівської селищної ради Якимівського району Запорізької області"""
Бердянський заклад загальної середньої освіти І-ІІІ ступенів №8 Бердянської міської ради Запорізької області,Бердянський заклад загальної середньої освіти І-ІІІ ступенів №8 Бердянської міської ради Запорізької області
"Комунальний заклад ""Приморська загальноосвітня школа І-ІІІ ступенів"" Василівської районної ради Запорізької області","Комунальний заклад ""Приморська загальноосвітня школа І-ІІІ ступенів"" Василівської районної ради Запорізької області"
Опорний заклад загальної середньої освіти Розумівська школа Долинської сільської ради Запорізького району Запорізької області,Опорний заклад загальної середньої освіти Розумівська школа Долинської сільської ради Запорізького району Запорізької області
"Комунальний заклад ""Чкаловська загальноосвітня школа І-ІІІ ступенів Чкаловської сільської ради Веселівського району Запорізької області""","Комунальний заклад ""Чкаловська загальноосвітня школа І-ІІІ ступенів Чкаловської сільської ради Веселівського району Запорізької області"""
"Опорний навчальний заклад ""Гірсівська загальноосвітня школа І - ІІІ ступенів Гірсівської сільської ради Запорізької області""","Опорний навчальний заклад ""Гірсівська загальноосвітня школа І - ІІІ ступенів Гірсівської сільської ради Запорізької області"""
Степненська загальноосвітня школа І-ІІІ ступенів Степненської сільської ради Запорізького району Запорізької області,Степненська загальноосвітня школа І-ІІІ ступенів Степненської сільської ради Запорізького району Запорізької області
"Олексіївський навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів - дошкільний навчальний заклад"" Смирновської сільської ради Більмацького району Запорізької області","Олексіївський навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів - дошкільний навчальний заклад"" Смирновської сільської ради Більмацького району Запорізької області"
Вознесенська загальноосвітня школа I-III ступенів Мелітопольської районної ради Запорізької області,Вознесенська загальноосвітня школа I-III ступенів Мелітопольської районної ради Запорізької області
Соколівський навчально-виховний комплекс (дошкільний навчальний заклад- заклад загальної середньої освіти) Михайлівської сільської ради Вільнянського району Запорізької області,Соколівський навчально-виховний комплекс (дошкільний навчальний заклад- заклад загальної середньої освіти) Михайлівської сільської ради Вільнянського району Запорізької області
"Комунальний заклад ""Тернуватський опорний заклад загальної середньої та дошкільної освіти"" Новомиколаївської районної ради Запорізької області","Комунальний заклад ""Тернуватський опорний заклад загальної середньої та дошкільної освіти"" Новомиколаївської районної ради Запорізької області"
Любицька загальноосвітня школа I-III ступенів Новомиколаївського району Запорізької області,Любицька загальноосвітня школа I-III ступенів Новомиколаївського району Запорізької області
"Мар'ївський навчально-виховний комплекс ""загальноосвітній навчальний заклад - дошкільний навчальний заклад"" Біленьківської сільської ради Запорізького району Запорізької області","Мар'ївський навчально-виховний комплекс ""загальноосвітній навчальний заклад - дошкільний навчальний заклад"" Біленьківської сільської ради Запорізького району Запорізької області"
"Комунальний заклад ""Юр'ївська багатопрофільна загальноосвітня школа І-ІІІ ступенів"" Приморської районної ради Запорізької області","Комунальний заклад ""Юр'ївська багатопрофільна загальноосвітня школа І-ІІІ ступенів"" Приморської районної ради Запорізької області"
"Богданівський навчально-виховний комплекс ""Загальноосвітній навчальний заклад І-ІІІ ступенів - дошкільний навчальний заклад"" Приазовської районної ради Запорізької області","Богданівський навчально-виховний комплекс ""Загальноосвітній навчальний заклад І-ІІІ ступенів - дошкільний навчальний заклад"" Приазовської районної ради Запорізької області"
Владівська загальноосвітня школа І-ІІІ ступенів Чернігівської селищної ради Чернігівського району Запорізької області,Владівська загальноосвітня школа І-ІІІ ступенів Чернігівської селищної ради Чернігівського району Запорізької області
"Комунальний заклад ""Преславська багатопрофільна загальноосвітня школа І-ІІІ ступенів"" Приморської міської ради Приморського району Запорізької області","Комунальний заклад ""Преславська багатопрофільна загальноосвітня школа І-ІІІ ступенів"" Приморської міської ради Приморського району Запорізької області"
Степанівська Перша загальноосвітня школа І-ІІІ ступенів Степанівської Першої сільської ради Приазовського району Запорізької області,Степанівська Перша загальноосвітня школа І-ІІІ ступенів Степанівської Першої сільської ради Приазовського району Запорізької області
"Бориспільський навчально-виховний комплекс ""Спеціалізована школа І-ІІІ ступенів - загальноосвітня школа І-ІІІ ступенів"" імені Костянтина Могилка Бориспільської міської ради Київської області","Бориспільський навчально-виховний комплекс ""Спеціалізована школа І-ІІІ ступенів - загальноосвітня школа І-ІІІ ступенів"" імені Костянтина Могилка Бориспільської міської ради Київської області"
Сквирська загальноосвітня школа І-ІІІ ступенів №3 імені Петра Тисьменецького Сквирської районної ради Київської області,Сквирська загальноосвітня школа І-ІІІ ступенів №3 імені Петра Тисьменецького Сквирської районної ради Київської області
Березанська загальноосвітня школа І-ІІІ ступенів №4 Березанської міської ради Київської області,Березанська загальноосвітня школа І-ІІІ ступенів №4 Березанської міської ради Київської області
Кучаківська загальноосвітня школа І-ІІІ ступенів імені гетьмана Івана Сулими Бориспільської районної ради Київської області,Кучаківська загальноосвітня школа І-ІІІ ступенів імені гетьмана Івана Сулими Бориспільської районної ради Київської області
